histone_marker,train_loss_avg,train_accuracy_avg,train_auc_avg,val_loss_avg,val_accuracy_avg,val_auc_avg,test_accuracy,test_auc,number_of_histones,order_by_test_acc
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,0.4764,77.964,0.7793,0.4586,78.6916,0.7854,79.73,0.7964,5,1
H3K4me3-H3K9ac-H3K27ac-H3K27me3,0.4744,78.1409,0.7793,0.459,78.5935,0.7844,78.82,0.7858,4,2
H3K4me3-H3K9ac-H3K9me3-H3K27ac,0.4833,77.904,0.7791,0.4645,78.4992,0.7827,78.28,0.7816,4,13
H3K4me3-H3K9ac-H3K9me3-H3K27me3,0.4809,77.7566,0.7774,0.4615,78.3963,0.7821,78.46,0.7827,4,7
H3K4me3-H3K9me3-H3K27ac-H3K27me3,0.4841,77.5903,0.7739,0.4648,78.2694,0.7811,77.83,0.777,4,20
H3K9ac-H3K9me3-H3K27ac-H3K27me3,0.4775,77.7801,0.7783,0.4624,78.3813,0.7821,78.64,0.7834,4,4
H3K4me3-H3K27ac-H3K27me3,0.483,77.7148,0.7761,0.4669,78.3403,0.7812,78.33,0.7816,3,11
H3K4me3-H3K9ac-H3K27ac,0.4837,77.8971,0.7787,0.464,78.5428,0.7825,78.46,0.7819,3,8
H3K4me3-H3K9ac-H3K27me3,0.4828,77.6858,0.7748,0.4638,78.3343,0.7808,78.77,0.7854,3,3
H3K4me3-H3K9ac-H3K9me3,0.4863,77.7039,0.7753,0.4655,78.4129,0.7816,78.22,0.7794,3,15
H3K4me3-H3K9me3-H3K27ac,0.4922,77.5016,0.7718,0.4719,78.253,0.7801,78.09,0.7788,3,17
H3K4me3-H3K9me3-H3K27me3,0.5044,76.024,0.7596,0.4827,76.8753,0.7675,77.28,0.7709,3,21
H3K9ac-H3K27ac-H3K27me3,0.4838,77.6085,0.7743,0.4683,78.2942,0.7806,78.24,0.7803,3,14
H3K9ac-H3K9me3-H3K27ac,0.4884,77.7444,0.7743,0.4698,78.2214,0.7791,78.6,0.7821,3,5
H3K9ac-H3K9me3-H3K27me3,0.4807,77.6175,0.7754,0.4667,78.2201,0.7797,78.17,0.7801,3,16
H3K9me3-H3K27ac-H3K27me3,0.5152,75.4086,0.7511,0.5041,75.8876,0.7561,75.41,0.7515,3,28
H3K27ac-H3K27me3,0.5237,75.0962,0.7486,0.5134,75.6442,0.7539,75.42,0.7505,2,27
H3K4me3-H3K27ac,0.4961,77.4255,0.7703,0.4758,78.1709,0.7796,78.03,0.7783,2,18
H3K4me3-H3K27me3,0.5128,75.8332,0.759,0.4893,76.7605,0.7657,76.03,0.7583,2,25
H3K4me3-H3K9ac,0.4888,77.6584,0.7735,0.4676,78.3241,0.7809,78.33,0.7805,2,12
H3K4me3-H3K9me3,0.5254,75.3612,0.7498,0.498,76.5937,0.7636,76.09,0.7594,2,23
H3K9ac-H3K27ac,0.4909,77.7535,0.7746,0.4731,78.3408,0.7807,78.6,0.7835,2,6
H3K9ac-H3K27me3,0.4862,77.4657,0.7711,0.4721,78.0371,0.7778,77.89,0.7755,2,19
H3K9ac-H3K9me3,0.487,77.7331,0.7761,0.4684,78.4449,0.782,78.36,0.7812,2,9
H3K9me3-H3K27ac,0.5214,75.4377,0.75,0.5059,76.1845,0.7588,75.96,0.7557,2,26
H3K9me3-H3K27me3,0.6482,65.1242,0.6489,0.649,64.7091,0.6461,64.96,0.648,2,29
H3K27ac,0.5298,75.3596,0.7496,0.5141,76.0448,0.7567,76.04,0.7562,1,24
H3K27me3,0.6537,64.8831,0.6466,0.6539,64.5342,0.6435,64.95,0.6474,1,30
H3K4me3,0.53,75.3025,0.7496,0.5039,76.504,0.7627,76.88,0.7658,1,22
H3K9ac,0.4971,77.5583,0.7708,0.4792,77.9631,0.7763,78.35,0.7816,1,10
H3K9me3,0.7114,52.6685,0.5098,0.7098,52.5487,0.5104,52.67,0.5116,1,31
