model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
DirectRanker,1011,H3K4me3,84,71.4,0.79,71.9,0.8161,0.8074,0.7035,0.761,0.7311,0.894
LogisticRegression,1011,H3K4me3,,70.0,0.7628,71.0,0.7955,0.7867,0.75,0.6335,0.6868,0.793
RandomForest,1011,H3K4me3,,70.2,0.7707,73.1,0.8097,0.7992,0.7716,0.6594,0.7111,0.775
SVM_Linear,1011,H3K4me3,,70.1,0.7646,71.3,0.7959,0.7882,0.7541,0.6355,0.6897,0.794
DirectRanker,123,H3K4me3,60,74.8,0.84,71.7,0.8055,0.7782,0.6917,0.7663,0.7271,0.899
LogisticRegression,123,H3K4me3,,74.0,0.8173,71.0,0.7801,0.7446,0.7225,0.6667,0.6934,0.789
RandomForest,123,H3K4me3,,75.1,0.8276,71.9,0.8017,0.783,0.735,0.6707,0.7014,0.786
SVM_Linear,123,H3K4me3,,74.1,0.8178,71.0,0.781,0.7472,0.7235,0.6646,0.6928,0.788
DirectRanker,42,H3K4me3,95,74.3,0.83,73.2,0.8295,0.8184,0.6892,0.8067,0.7433,0.883
LogisticRegression,42,H3K4me3,,73.1,0.8041,73.5,0.8001,0.7804,0.7389,0.6944,0.716,0.787
RandomForest,42,H3K4me3,,74.1,0.8197,73.8,0.8224,0.7962,0.7483,0.6861,0.7158,0.783
SVM_Linear,42,H3K4me3,,72.9,0.8038,73.2,0.7998,0.7797,0.7404,0.6819,0.71,0.779
DirectRanker,456,H3K4me3,100,74.2,0.83,70.8,0.7983,0.7812,0.6764,0.7654,0.7181,0.902
LogisticRegression,456,H3K4me3,,75.7,0.8157,70.5,0.7704,0.7485,0.7195,0.644,0.6797,0.824
RandomForest,456,H3K4me3,,76.4,0.8378,71.9,0.791,0.7622,0.7263,0.677,0.7007,0.795
SVM_Linear,456,H3K4me3,,75.6,0.8171,70.0,0.7699,0.7506,0.7114,0.644,0.676,0.827
DirectRanker,789,H3K4me3,66,72.1,0.81,72.6,0.8126,0.7976,0.7041,0.7853,0.7425,0.872
LogisticRegression,789,H3K4me3,,73.4,0.8001,71.5,0.796,0.769,0.762,0.6302,0.6899,0.78
RandomForest,789,H3K4me3,,74.1,0.8117,72.2,0.8015,0.8014,0.7711,0.6362,0.6972,0.784
SVM_Linear,789,H3K4me3,,73.5,0.8015,71.6,0.7966,0.7678,0.7664,0.6262,0.6893,0.766
DirectRanker,1011,H3K9ac,100,72.2,0.8,70.6,0.8136,0.8074,0.6769,0.7928,0.7303,0.834
LogisticRegression,1011,H3K9ac,,71.3,0.7774,70.7,0.7831,0.774,0.7555,0.6155,0.6784,0.737
RandomForest,1011,H3K9ac,,71.5,0.7942,72.1,0.8133,0.8033,0.77,0.6335,0.6951,0.755
SVM_Linear,1011,H3K9ac,,71.4,0.7785,70.7,0.7838,0.7743,0.753,0.6195,0.6798,0.73
DirectRanker,123,H3K9ac,85,73.0,0.83,70.8,0.8069,0.785,0.673,0.7907,0.7271,0.852
LogisticRegression,123,H3K9ac,,74.6,0.8185,72.8,0.7828,0.7545,0.7657,0.6443,0.6998,0.774
RandomForest,123,H3K9ac,,74.8,0.834,72.7,0.797,0.7707,0.7613,0.6484,0.7003,0.775
SVM_Linear,123,H3K9ac,,74.2,0.8206,71.9,0.7814,0.7556,0.7506,0.6423,0.6922,0.783
DirectRanker,42,H3K9ac,100,73.8,0.83,72.5,0.8397,0.8305,0.6813,0.8046,0.7378,0.83
LogisticRegression,42,H3K9ac,,72.6,0.7952,74.6,0.818,0.8016,0.7775,0.6611,0.7146,0.744
RandomForest,42,H3K9ac,,75.1,0.8241,75.7,0.834,0.8188,0.799,0.6611,0.7235,0.74
SVM_Linear,42,H3K9ac,,72.8,0.7943,74.7,0.8178,0.8011,0.7767,0.6653,0.7167,0.747
DirectRanker,456,H3K9ac,100,73.0,0.85,71.8,0.8136,0.7971,0.6777,0.8004,0.734,0.842
LogisticRegression,456,H3K9ac,,75.4,0.8163,74.0,0.7871,0.7625,0.7729,0.6584,0.7111,0.743
RandomForest,456,H3K9ac,,76.4,0.8376,73.5,0.811,0.7858,0.76,0.6646,0.7091,0.775
SVM_Linear,456,H3K9ac,,74.8,0.8181,73.8,0.7875,0.7629,0.7692,0.6584,0.7095,0.744
DirectRanker,789,H3K9ac,100,70.8,0.8,74.9,0.8327,0.8114,0.718,0.825,0.7678,0.818
LogisticRegression,789,H3K9ac,,72.7,0.7868,72.1,0.8094,0.7748,0.7828,0.6163,0.6897,0.744
RandomForest,789,H3K9ac,,72.5,0.8057,74.1,0.832,0.821,0.8065,0.6382,0.7125,0.747
SVM_Linear,789,H3K9ac,,72.8,0.7878,72.2,0.8107,0.7773,0.7834,0.6183,0.6911,0.739
DirectRanker,1011,H3K9me3,100,49.1,0.5,51.3,0.5159,0.5088,0.5078,0.9721,0.6671,0.075
LogisticRegression,1011,H3K9me3,,50.3,0.4867,49.9,0.5066,0.5075,0.5116,0.0438,0.0807,0.045
RandomForest,1011,H3K9me3,,51.2,0.5067,49.1,0.4878,0.5037,0.3939,0.0259,0.0486,0.051
SVM_Linear,1011,H3K9me3,,51.6,0.4923,49.7,0.5084,0.5078,0.4839,0.0299,0.0563,0.046
DirectRanker,123,H3K9me3,100,52.2,0.53,49.3,0.5127,0.5017,0.4922,0.9634,0.6515,0.073
LogisticRegression,123,H3K9me3,,49.8,0.5113,51.3,0.4989,0.498,0.5806,0.0366,0.0688,0.032
RandomForest,123,H3K9me3,,49.9,0.5118,51.4,0.5033,0.5017,0.575,0.0467,0.0865,0.043
SVM_Linear,123,H3K9me3,,49.3,0.5093,51.2,0.4987,0.4974,1.0,0.0081,0.0161,0.009
DirectRanker,42,H3K9me3,100,48.2,0.53,49.1,0.525,0.5027,0.4855,0.9751,0.6482,0.058
LogisticRegression,42,H3K9me3,,52.8,0.493,51.9,0.4944,0.485,0.5,0.0291,0.055,0.033
RandomForest,42,H3K9me3,,54.4,0.5277,52.8,0.5176,0.496,0.68,0.0353,0.0672,0.03
SVM_Linear,42,H3K9me3,,52.2,0.484,52.7,0.5037,0.4888,0.6667,0.0333,0.0634,0.022
