histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std,test_aucprc_mean,test_aucprc_std,antisymmetry_mean,antisymmetry_std
H3K27ac,DirectRanker,73.28,1.7655,0.82,0.0245,73.84,1.0945,0.8281,0.0147,0.8137,0.0163,0.8944,0.0054
H3K27ac-H3K27me3,DirectRanker,73.82,1.8674,0.822,0.0259,74.1,1.4195,0.8306,0.0194,0.822,0.0209,0.9454,0.0037
H3K27me3,DirectRanker,56.02,2.1088,0.622,0.0164,55.84,0.695,0.61,0.0101,0.5736,0.0131,0.2584,0.0069
H3K4me3,DirectRanker,73.36,1.5076,0.82,0.02,72.04,0.9127,0.8124,0.0118,0.7966,0.0171,0.89,0.0124
H3K4me3-H3K27ac,DirectRanker,74.46,1.7516,0.828,0.0217,74.64,1.2602,0.8353,0.0137,0.826,0.0153,0.928,0.0048
H3K4me3-H3K27ac-H3K27me3,DirectRanker,74.84,1.7358,0.828,0.0217,74.66,1.2462,0.8366,0.0122,0.8283,0.0133,0.96,0.0031
H3K4me3-H3K27me3,DirectRanker,74.28,1.8754,0.826,0.0219,72.44,1.324,0.8161,0.0131,0.8043,0.0169,0.9376,0.0066
H3K4me3-H3K9ac,DirectRanker,74.06,1.7329,0.828,0.0217,73.22,1.033,0.8261,0.0128,0.8105,0.022,0.897,0.0137
H3K4me3-H3K9ac-H3K27ac,DirectRanker,74.92,2.1719,0.832,0.0205,74.2,0.9028,0.8371,0.0123,0.8274,0.014,0.9288,0.0057
H3K4me3-H3K9ac-H3K27ac-H3K27me3,DirectRanker,75.0,1.7479,0.832,0.0205,74.4,1.4405,0.838,0.0137,0.8296,0.0151,0.9602,0.0035
H3K4me3-H3K9ac-H3K27me3,DirectRanker,74.58,1.6814,0.83,0.02,73.7,0.9083,0.8268,0.0125,0.8172,0.0169,0.9414,0.0069
H3K4me3-H3K9ac-H3K9me3,DirectRanker,73.98,1.5563,0.828,0.0217,72.96,0.5771,0.8252,0.0113,0.8117,0.0167,0.901,0.0136
H3K4me3-H3K9ac-H3K9me3-H3K27ac,DirectRanker,74.72,1.8089,0.83,0.0245,74.36,0.9864,0.8358,0.012,0.8261,0.0148,0.9322,0.0054
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,DirectRanker,75.22,2.0474,0.834,0.027,74.56,1.6257,0.8394,0.0158,0.8342,0.017,0.961,0.0029
H3K4me3-H3K9ac-H3K9me3-H3K27me3,DirectRanker,74.62,1.7726,0.828,0.0217,73.04,0.8019,0.8258,0.0134,0.815,0.0171,0.9424,0.0072
H3K4me3-H3K9me3,DirectRanker,73.54,1.4943,0.824,0.0207,71.7,0.6285,0.8103,0.0107,0.7949,0.0168,0.894,0.0123
H3K4me3-H3K9me3-H3K27ac,DirectRanker,74.66,1.9321,0.83,0.0187,74.3,1.0677,0.8348,0.0134,0.8243,0.0152,0.9314,0.0047
H3K4me3-H3K9me3-H3K27ac-H3K27me3,DirectRanker,75.18,1.6037,0.832,0.0217,74.84,1.7686,0.8376,0.0122,0.8313,0.0136,0.9608,0.0025
H3K4me3-H3K9me3-H3K27me3,DirectRanker,74.64,2.0268,0.826,0.0219,72.36,1.4893,0.8168,0.013,0.8056,0.0182,0.9386,0.007
H3K9ac,DirectRanker,72.56,1.1349,0.822,0.0217,72.12,1.7341,0.8213,0.0141,0.8063,0.017,0.8352,0.0128
H3K9ac-H3K27ac,DirectRanker,73.74,1.5159,0.824,0.023,73.96,1.2798,0.8331,0.0138,0.8215,0.0165,0.903,0.0051
H3K9ac-H3K27ac-H3K27me3,DirectRanker,74.52,1.4202,0.83,0.0187,74.42,1.3312,0.8346,0.0143,0.8277,0.0154,0.9498,0.0045
H3K9ac-H3K27me3,DirectRanker,73.58,1.2458,0.82,0.0187,72.86,1.1349,0.8207,0.0144,0.8112,0.0168,0.911,0.0046
H3K9ac-H3K9me3,DirectRanker,72.18,0.8012,0.818,0.0179,72.24,1.0359,0.8196,0.0124,0.8054,0.0166,0.8484,0.014
H3K9ac-H3K9me3-H3K27ac,DirectRanker,73.98,1.4096,0.83,0.0187,73.9,1.0607,0.8334,0.0153,0.8232,0.0179,0.913,0.0035
H3K9ac-H3K9me3-H3K27ac-H3K27me3,DirectRanker,74.44,1.7038,0.83,0.0187,74.44,0.8264,0.8363,0.0122,0.8295,0.0149,0.9538,0.0028
H3K9ac-H3K9me3-H3K27me3,DirectRanker,73.28,1.3442,0.822,0.0164,72.84,1.324,0.8206,0.015,0.8108,0.0165,0.9166,0.0059
H3K9me3,DirectRanker,49.34,1.6319,0.518,0.013,49.92,1.0109,0.5153,0.0057,0.5025,0.0083,0.0656,0.0115
H3K9me3-H3K27ac,DirectRanker,73.08,1.7627,0.818,0.0239,73.82,1.4237,0.8304,0.0149,0.8177,0.0157,0.9052,0.0036
H3K9me3-H3K27ac-H3K27me3,DirectRanker,74.02,1.878,0.824,0.023,74.34,1.5469,0.8316,0.0176,0.8227,0.019,0.9496,0.0027
H3K9me3-H3K27me3,DirectRanker,56.76,1.7672,0.63,0.0141,56.34,1.1845,0.6181,0.0153,0.5805,0.0134,0.2964,0.0176
