model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
RandomForest,1011,H3K4me3,,70.2,0.7707,73.1,0.8097,0.7992,0.7716,0.6594,0.7111,0.775
RandomForest,123,H3K4me3,,75.1,0.8276,71.9,0.8017,0.783,0.735,0.6707,0.7014,0.786
RandomForest,42,H3K4me3,,74.1,0.8197,73.8,0.8224,0.7962,0.7483,0.6861,0.7158,0.783
RandomForest,456,H3K4me3,,76.4,0.8378,71.9,0.791,0.7622,0.7263,0.677,0.7007,0.795
RandomForest,789,H3K4me3,,74.1,0.8117,72.2,0.8015,0.8014,0.7711,0.6362,0.6972,0.784
RandomForest,1011,H3K9ac,,71.5,0.7942,72.1,0.8133,0.8033,0.77,0.6335,0.6951,0.755
RandomForest,123,H3K9ac,,74.8,0.834,72.7,0.797,0.7707,0.7613,0.6484,0.7003,0.775
RandomForest,42,H3K9ac,,75.1,0.8241,75.7,0.834,0.8188,0.799,0.6611,0.7235,0.74
RandomForest,456,H3K9ac,,76.4,0.8376,73.5,0.811,0.7858,0.76,0.6646,0.7091,0.775
RandomForest,789,H3K9ac,,72.5,0.8057,74.1,0.832,0.821,0.8065,0.6382,0.7125,0.747
RandomForest,1011,H3K9me3,,51.2,0.5067,49.1,0.4878,0.5037,0.3939,0.0259,0.0486,0.051
RandomForest,123,H3K9me3,,49.9,0.5118,51.4,0.5033,0.5017,0.575,0.0467,0.0865,0.043
RandomForest,42,H3K9me3,,54.4,0.5277,52.8,0.5176,0.496,0.68,0.0353,0.0672,0.03
RandomForest,456,H3K9me3,,52.6,0.5064,51.6,0.5065,0.4882,0.5312,0.035,0.0656,0.056
RandomForest,789,H3K9me3,,51.9,0.4998,50.4,0.5087,0.5113,0.6522,0.0298,0.057,0.041
RandomForest,1011,H3K27ac,,72.1,0.7991,72.9,0.8245,0.8065,0.7596,0.6733,0.7138,0.781
RandomForest,123,H3K27ac,,74.5,0.8372,75.5,0.8342,0.8245,0.78,0.6992,0.7374,0.803
RandomForest,42,H3K27ac,,76.6,0.8402,76.8,0.8549,0.8491,0.7773,0.7256,0.7505,0.803
RandomForest,456,H3K27ac,,77.4,0.8575,75.4,0.8319,0.8125,0.7727,0.6996,0.7343,0.803
RandomForest,789,H3K27ac,,71.7,0.8039,74.8,0.8436,0.8375,0.7833,0.6899,0.7336,0.804
RandomForest,1011,H3K27me3,,55.5,0.5795,56.0,0.6183,0.5862,0.7385,0.1912,0.3038,0.241
RandomForest,123,H3K27me3,,56.5,0.6396,57.4,0.6127,0.5763,0.7357,0.2093,0.3259,0.256
RandomForest,42,H3K27me3,,60.0,0.6353,56.2,0.5977,0.5568,0.6593,0.185,0.289,0.236
RandomForest,456,H3K27me3,,53.9,0.6019,55.2,0.6069,0.564,0.5221,0.9239,0.6672,0.253
