histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std,test_aucprc_mean,test_aucprc_std,antisymmetry_mean,antisymmetry_std
H3K27ac,RandomForest,74.46,2.5696,0.8276,0.0251,75.08,1.4202,0.8378,0.0117,0.826,0.0175,0.7988,0.01
H3K27ac-H3K27me3,RandomForest,74.32,2.9828,0.8295,0.0259,75.1,1.6748,0.8367,0.0139,0.8279,0.0193,0.8188,0.0083
H3K27me3,RandomForest,56.98,2.5054,0.6172,0.0257,55.92,1.006,0.6037,0.0139,0.568,0.0129,0.2414,0.0141
H3K4me3,RandomForest,73.98,2.3145,0.8135,0.0258,72.58,0.8408,0.8053,0.0117,0.7884,0.0163,0.7846,0.0072
H3K4me3-H3K27ac,RandomForest,75.7,2.4423,0.8372,0.0276,76.32,1.2071,0.8438,0.0137,0.8323,0.0149,0.8342,0.0103
H3K4me3-H3K27ac-H3K27me3,RandomForest,75.72,2.9895,0.839,0.0274,76.0,0.7246,0.8438,0.0145,0.8313,0.0156,0.8446,0.004
H3K4me3-H3K27me3,RandomForest,74.36,2.4172,0.8175,0.0261,72.52,1.0474,0.8082,0.0141,0.7938,0.0154,0.8074,0.0151
H3K4me3-H3K9ac,RandomForest,74.88,2.631,0.8244,0.0246,74.16,1.6087,0.8219,0.0135,0.8058,0.0177,0.806,0.0114
H3K4me3-H3K9ac-H3K27ac,RandomForest,76.32,2.2797,0.8402,0.0263,76.36,0.9788,0.8444,0.014,0.8327,0.0148,0.845,0.0108
H3K4me3-H3K9ac-H3K27ac-H3K27me3,RandomForest,76.08,2.5675,0.8402,0.0267,76.1,1.5476,0.844,0.0137,0.8308,0.015,0.8546,0.0053
H3K4me3-H3K9ac-H3K27me3,RandomForest,74.48,2.717,0.8261,0.0256,73.92,1.1756,0.8228,0.0136,0.809,0.0176,0.819,0.0103
H3K4me3-H3K9ac-H3K9me3,RandomForest,75.1,2.5544,0.8252,0.025,74.28,1.0803,0.8237,0.0129,0.8082,0.0166,0.8108,0.0145
H3K4me3-H3K9ac-H3K9me3-H3K27ac,RandomForest,75.96,2.8945,0.8388,0.0274,76.06,1.3012,0.8444,0.0136,0.8321,0.0165,0.847,0.011
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,RandomForest,75.84,2.3362,0.84,0.0247,76.16,1.4258,0.8446,0.0145,0.832,0.0146,0.8514,0.0085
H3K4me3-H3K9ac-H3K9me3-H3K27me3,RandomForest,74.96,2.3586,0.8267,0.0238,74.26,1.3667,0.8229,0.0149,0.8113,0.0175,0.8234,0.0127
H3K4me3-H3K9me3,RandomForest,73.94,2.2479,0.8151,0.0237,72.72,1.1256,0.809,0.0118,0.7924,0.0162,0.7884,0.0061
H3K4me3-H3K9me3-H3K27ac,RandomForest,75.62,2.6556,0.8382,0.0269,76.28,0.8815,0.844,0.0131,0.8326,0.0133,0.8404,0.0067
H3K4me3-H3K9me3-H3K27ac-H3K27me3,RandomForest,76.06,2.7208,0.839,0.0269,76.26,1.161,0.8445,0.0139,0.8338,0.0152,0.8506,0.0052
H3K4me3-H3K9me3-H3K27me3,RandomForest,74.3,2.5564,0.8184,0.0273,72.98,1.2091,0.8102,0.0142,0.798,0.0155,0.811,0.0148
H3K9ac,RandomForest,74.06,2.0057,0.8191,0.0186,73.62,1.39,0.8175,0.0155,0.7999,0.0216,0.7584,0.0161
H3K9ac-H3K27ac,RandomForest,75.84,2.3126,0.8366,0.0255,76.64,1.2876,0.844,0.0129,0.8339,0.016,0.8268,0.0077
H3K9ac-H3K27ac-H3K27me3,RandomForest,76.2,2.1783,0.8391,0.0239,76.38,1.3627,0.8436,0.0129,0.8352,0.0168,0.8436,0.0122
H3K9ac-H3K27me3,RandomForest,74.18,1.9588,0.8215,0.0187,73.38,1.6177,0.8159,0.0168,0.8033,0.0225,0.7896,0.0127
H3K9ac-H3K9me3,RandomForest,74.0,1.793,0.8194,0.0187,74.04,0.9685,0.8196,0.014,0.8039,0.0181,0.7672,0.0173
H3K9ac-H3K9me3-H3K27ac,RandomForest,75.92,2.6243,0.8374,0.0242,76.58,1.3864,0.8439,0.0121,0.8343,0.0139,0.8288,0.0099
H3K9ac-H3K9me3-H3K27ac-H3K27me3,RandomForest,75.92,2.3774,0.8381,0.0253,76.22,1.4805,0.844,0.0137,0.8348,0.0153,0.845,0.0076
H3K9ac-H3K9me3-H3K27me3,RandomForest,74.12,2.0462,0.8229,0.0198,73.68,1.6346,0.818,0.017,0.8063,0.0218,0.7994,0.0116
H3K9me3,RandomForest,52.0,1.6718,0.5105,0.0105,51.06,1.3885,0.5048,0.0109,0.5002,0.0087,0.0442,0.01
H3K9me3-H3K27ac,RandomForest,74.28,2.759,0.8274,0.0263,75.66,1.4258,0.8384,0.0112,0.8279,0.0158,0.81,0.0091
H3K9me3-H3K27ac-H3K27me3,RandomForest,74.38,3.1634,0.8308,0.0285,75.14,1.7082,0.8382,0.013,0.8295,0.0169,0.826,0.0114
H3K9me3-H3K27me3,RandomForest,57.42,2.4763,0.6237,0.0227,56.22,0.9391,0.6058,0.0128,0.5722,0.0117,0.2668,0.0223
