histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std
H3K27ac,RandomForest,73.68,2.7662,0.8187,0.0219,74.94,1.3465,0.8301,0.0154
H3K27ac,SVM_Linear,72.24,2.5822,0.788,0.0238,73.22,1.4025,0.8022,0.016
H3K27ac,LogisticRegression,72.48,2.7698,0.7883,0.025,73.2,1.3096,0.802,0.0169
H3K27ac,DirectRanker,72.36,2.0182,0.814,0.0288,72.88,0.9884,0.8198,0.0112
H3K27ac-H3K27me3,RandomForest,73.66,2.7144,0.8201,0.0212,75.02,1.6769,0.8315,0.0153
H3K27ac-H3K27me3,DirectRanker,72.14,2.4131,0.81,0.0292,73.12,1.6022,0.8222,0.0086
H3K27ac-H3K27me3,SVM_Linear,71.9,2.6029,0.7822,0.0265,72.54,1.2361,0.7928,0.0162
H3K27ac-H3K27me3,LogisticRegression,72.16,2.668,0.779,0.027,72.54,1.2641,0.7895,0.017
H3K27me3,RandomForest,53.0,1.4543,0.5234,0.0058,51.58,1.1345,0.5192,0.004
H3K27me3,SVM_Linear,52.58,1.3773,0.5154,0.0036,50.92,0.9066,0.5041,0.0052
H3K27me3,LogisticRegression,52.52,1.422,0.5131,0.0034,50.88,1.1628,0.5051,0.0088
H3K27me3,DirectRanker,49.52,1.532,0.526,0.0055,50.38,1.001,0.5193,0.004
H3K4me3,RandomForest,73.28,2.455,0.8106,0.0254,73.32,1.1454,0.8096,0.0094
H3K4me3,LogisticRegression,72.64,2.4795,0.7985,0.0285,72.56,1.0644,0.7992,0.0078
H3K4me3,SVM_Linear,72.7,2.399,0.7992,0.0289,72.56,0.9915,0.8003,0.0078
H3K4me3,DirectRanker,72.5,1.5984,0.81,0.0235,71.42,0.8379,0.8087,0.0095
H3K4me3-H3K27ac,RandomForest,74.82,2.2253,0.8306,0.0262,75.56,1.2818,0.8381,0.0103
H3K4me3-H3K27ac,LogisticRegression,73.34,2.8431,0.7971,0.028,73.98,1.3664,0.8082,0.0126
H3K4me3-H3K27ac,SVM_Linear,72.84,2.4986,0.7973,0.0266,73.6,1.3096,0.8087,0.0137
H3K4me3-H3K27ac,DirectRanker,73.66,2.1007,0.826,0.0251,73.5,0.9055,0.8284,0.013
H3K4me3-H3K27ac-H3K27me3,RandomForest,74.96,2.0354,0.8317,0.0252,75.58,1.0474,0.8384,0.0089
H3K4me3-H3K27ac-H3K27me3,DirectRanker,73.82,2.1406,0.824,0.0288,73.76,0.5899,0.8298,0.0106
H3K4me3-H3K27ac-H3K27me3,LogisticRegression,72.82,2.5054,0.7879,0.0306,73.32,1.3627,0.7963,0.0157
H3K4me3-H3K27ac-H3K27me3,SVM_Linear,72.52,2.5791,0.7908,0.0296,73.0,1.4714,0.8,0.0151
H3K4me3-H3K27me3,RandomForest,73.32,2.2665,0.8103,0.0259,73.28,1.1077,0.8115,0.0096
H3K4me3-H3K27me3,DirectRanker,72.78,1.7852,0.816,0.0207,71.94,0.6656,0.8094,0.008
H3K4me3-H3K27me3,LogisticRegression,72.28,2.3637,0.7894,0.0292,71.88,1.5057,0.7864,0.0124
H3K4me3-H3K27me3,SVM_Linear,72.14,2.3776,0.7934,0.0291,71.74,1.4775,0.7904,0.011
H3K4me3-H3K9ac,RandomForest,74.36,2.6548,0.8222,0.0247,74.78,0.9094,0.8281,0.0095
H3K4me3-H3K9ac,LogisticRegression,72.94,2.651,0.7942,0.032,72.9,1.321,0.7977,0.0096
H3K4me3-H3K9ac,SVM_Linear,72.98,2.7526,0.7952,0.0311,72.8,1.1,0.7988,0.0094
H3K4me3-H3K9ac,DirectRanker,73.48,1.9435,0.824,0.0241,72.34,0.6656,0.8208,0.0069
H3K4me3-H3K9ac-H3K27ac,RandomForest,75.24,2.829,0.8348,0.0253,76.16,0.9343,0.8418,0.0104
H3K4me3-H3K9ac-H3K27ac,DirectRanker,73.88,1.6649,0.826,0.0251,73.78,1.0085,0.8292,0.0115
H3K4me3-H3K9ac-H3K27ac,SVM_Linear,73.06,2.2064,0.7918,0.0268,73.56,1.8703,0.8016,0.0169
