model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
DirectRanker,1011,H3K4me3,39,71.0,0.78,71.5,0.8058,0.7919,0.6984,0.761,0.7283,0.888
DirectRanker,123,H3K4me3,60,74.1,0.83,71.6,0.8145,0.7966,0.6891,0.7703,0.7274,0.892
DirectRanker,42,H3K4me3,44,73.1,0.82,71.8,0.82,0.8099,0.6786,0.7859,0.7283,0.883
DirectRanker,456,H3K4me3,70,73.7,0.83,70.0,0.7949,0.7873,0.6685,0.7593,0.711,0.876
DirectRanker,789,H3K4me3,31,70.6,0.79,72.2,0.8083,0.7942,0.6963,0.7932,0.7416,0.865
DirectRanker,1011,H3K9ac,100,70.9,0.79,71.1,0.8147,0.7957,0.6784,0.8068,0.737,0.81
DirectRanker,123,H3K9ac,100,73.7,0.83,72.1,0.8206,0.8066,0.6827,0.8089,0.7405,0.816
DirectRanker,42,H3K9ac,100,71.1,0.82,71.1,0.8255,0.814,0.6616,0.817,0.7312,0.82
DirectRanker,456,H3K9ac,100,74.0,0.84,69.6,0.7978,0.7901,0.6548,0.7922,0.7169,0.813
DirectRanker,789,H3K9ac,100,70.9,0.8,74.1,0.8265,0.7972,0.7061,0.831,0.7635,0.801
DirectRanker,1011,H3K9me3,100,49.4,0.51,50.6,0.5152,0.5091,0.5042,0.9641,0.6621,0.09
DirectRanker,123,H3K9me3,100,50.9,0.52,51.0,0.5371,0.5225,0.501,0.9715,0.6611,0.091
DirectRanker,42,H3K9me3,100,48.4,0.53,51.3,0.5501,0.525,0.4968,0.9771,0.6587,0.112
DirectRanker,456,H3K9me3,100,49.4,0.53,51.9,0.5402,0.5066,0.5026,0.9794,0.6643,0.097
DirectRanker,789,H3K9me3,100,49.6,0.53,52.3,0.5332,0.5191,0.5136,0.9742,0.6726,0.091
DirectRanker,1011,H3K27ac,39,70.1,0.77,72.3,0.8075,0.7902,0.695,0.7988,0.7433,0.859
DirectRanker,123,H3K27ac,100,72.8,0.83,72.0,0.8186,0.8061,0.686,0.7947,0.7363,0.863
DirectRanker,42,H3K27ac,38,74.3,0.83,74.1,0.8338,0.8182,0.6961,0.8191,0.7526,0.868
DirectRanker,456,H3K27ac,100,74.2,0.84,72.2,0.8106,0.7966,0.6857,0.7901,0.7342,0.868
DirectRanker,789,H3K27ac,100,70.4,0.8,73.8,0.8283,0.8085,0.7156,0.7952,0.7533,0.86
DirectRanker,1011,H3K27me3,100,50.2,0.53,51.1,0.5157,0.5126,0.5066,0.994,0.6711,0.038
DirectRanker,123,H3K27me3,100,51.9,0.53,50.4,0.5255,0.5128,0.498,0.9898,0.6626,0.046
DirectRanker,42,H3K27me3,100,48.3,0.52,49.6,0.5206,0.4928,0.4883,0.9938,0.6548,0.039
DirectRanker,456,H3K27me3,100,48.8,0.53,49.2,0.5159,0.5017,0.4888,0.9877,0.654,0.038
DirectRanker,789,H3K27me3,100,48.4,0.52,51.6,0.5186,0.5141,0.5098,0.9861,0.6721,0.049
DirectRanker,1011,H3K4me3-H3K9ac,42,71.2,0.79,72.2,0.8154,0.8002,0.7059,0.7649,0.7342,0.893
