model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
LogisticRegression,1011,H3K4me3,,69.8,0.7644,71.8,0.7992,0.7801,0.7523,0.6534,0.6994,0.762
LogisticRegression,123,H3K4me3,,73.2,0.8167,72.5,0.7991,0.7796,0.7517,0.6585,0.7021,0.81
LogisticRegression,42,H3K4me3,,74.2,0.8065,74.4,0.8112,0.7985,0.7506,0.7006,0.7247,0.801
LogisticRegression,456,H3K4me3,,75.6,0.8314,71.9,0.7894,0.7803,0.7378,0.6543,0.6936,0.802
LogisticRegression,789,H3K4me3,,70.4,0.7737,72.2,0.7972,0.7819,0.7698,0.6382,0.6978,0.773
LogisticRegression,1011,H3K9ac,,69.6,0.7629,71.7,0.7918,0.7646,0.7772,0.6116,0.6845,0.729
LogisticRegression,123,H3K9ac,,74.2,0.8082,71.1,0.7871,0.7558,0.757,0.6077,0.6742,0.722
LogisticRegression,42,H3K9ac,,72.8,0.7853,74.2,0.8077,0.7735,0.7674,0.6653,0.7127,0.735
LogisticRegression,456,H3K9ac,,75.5,0.8192,71.7,0.7779,0.7584,0.7557,0.6173,0.6795,0.742
LogisticRegression,789,H3K9ac,,72.0,0.7784,72.5,0.8057,0.7715,0.7984,0.6064,0.6893,0.748
LogisticRegression,1011,H3K9me3,,51.4,0.5013,50.5,0.5085,0.5146,0.5814,0.0498,0.0917,0.047
LogisticRegression,123,H3K9me3,,50.2,0.5,50.4,0.489,0.4915,0.45,0.0366,0.0677,0.061
LogisticRegression,42,H3K9me3,,53.4,0.5033,51.4,0.5032,0.492,0.4648,0.0686,0.1196,0.063
LogisticRegression,456,H3K9me3,,52.8,0.5098,50.5,0.5049,0.4894,0.4118,0.0432,0.0782,0.059
LogisticRegression,789,H3K9me3,,51.8,0.495,49.9,0.5106,0.5142,0.5238,0.0437,0.0807,0.06
LogisticRegression,1011,H3K27ac,,68.6,0.7564,72.4,0.7891,0.7589,0.7665,0.6474,0.7019,0.761
LogisticRegression,123,H3K27ac,,73.3,0.7908,72.7,0.7957,0.7743,0.7626,0.6463,0.6997,0.745
LogisticRegression,42,H3K27ac,,74.7,0.8099,75.5,0.83,0.8105,0.7731,0.6944,0.7317,0.759
LogisticRegression,456,H3K27ac,,75.1,0.8144,73.0,0.7899,0.7739,0.7584,0.6523,0.7013,0.772
LogisticRegression,789,H3K27ac,,70.7,0.77,72.4,0.8052,0.7866,0.7762,0.6342,0.698,0.775
LogisticRegression,1011,H3K27me3,,51.9,0.509,50.3,0.5118,0.5101,0.6087,0.0279,0.0533,0.018
LogisticRegression,123,H3K27me3,,50.3,0.5156,51.7,0.5158,0.5086,0.7368,0.0285,0.0548,0.028
LogisticRegression,42,H3K27me3,,53.4,0.5114,51.5,0.5012,0.4862,0.4091,0.0187,0.0358,0.023
LogisticRegression,456,H3K27me3,,53.7,0.5175,51.8,0.5034,0.4899,0.6667,0.0165,0.0321,0.016
LogisticRegression,789,H3K27me3,,53.3,0.5118,49.1,0.4935,0.5064,0.35,0.0139,0.0268,0.024
LogisticRegression,1011,H3K4me3-H3K9ac,,69.9,0.7598,72.2,0.796,0.7737,0.7605,0.6514,0.7017,0.752
LogisticRegression,123,H3K4me3-H3K9ac,,74.5,0.8177,71.9,0.7958,0.7743,0.7381,0.6646,0.6995,0.779
LogisticRegression,42,H3K4me3-H3K9ac,,73.3,0.7984,74.9,0.8142,0.7947,0.7567,0.7048,0.7298,0.762
LogisticRegression,456,H3K4me3-H3K9ac,,76.3,0.8317,73.6,0.792,0.7734,0.7681,0.6543,0.7067,0.776
LogisticRegression,789,H3K4me3-H3K9ac,,70.7,0.7635,71.9,0.7903,0.7702,0.7707,0.6282,0.6922,0.769
