histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std,test_aucprc_mean,test_aucprc_std,antisymmetry_mean,antisymmetry_std
H3K27ac,LogisticRegression,72.48,2.7698,0.7883,0.025,73.2,1.3096,0.802,0.0169,0.7808,0.0193,0.7624,0.0119
H3K27ac-H3K27me3,LogisticRegression,72.16,2.668,0.779,0.027,72.54,1.2641,0.7895,0.017,0.7651,0.0196,0.7642,0.0131
H3K27me3,LogisticRegression,52.52,1.422,0.5131,0.0034,50.88,1.1628,0.5051,0.0088,0.5002,0.0113,0.0218,0.0048
H3K4me3,LogisticRegression,72.64,2.4795,0.7985,0.0285,72.56,1.0644,0.7992,0.0078,0.7841,0.0081,0.7896,0.0208
H3K4me3-H3K27ac,LogisticRegression,73.34,2.8431,0.7971,0.028,73.98,1.3664,0.8082,0.0126,0.7926,0.0153,0.776,0.014
H3K4me3-H3K27ac-H3K27me3,LogisticRegression,72.82,2.5054,0.7879,0.0306,73.32,1.3627,0.7963,0.0157,0.7769,0.0205,0.772,0.0107
H3K4me3-H3K27me3,LogisticRegression,72.28,2.3637,0.7894,0.0292,71.88,1.5057,0.7864,0.0124,0.7656,0.0143,0.7848,0.0225
H3K4me3-H3K9ac,LogisticRegression,72.94,2.651,0.7942,0.032,72.9,1.321,0.7977,0.0096,0.7773,0.0099,0.7676,0.0109
H3K4me3-H3K9ac-H3K27ac,LogisticRegression,72.98,2.547,0.7908,0.0276,73.46,1.8174,0.8,0.016,0.7808,0.0154,0.7562,0.0127
H3K4me3-H3K9ac-H3K27ac-H3K27me3,LogisticRegression,72.36,2.072,0.7812,0.0284,73.04,1.8202,0.7894,0.018,0.7683,0.0194,0.7522,0.009
H3K4me3-H3K9ac-H3K27me3,LogisticRegression,72.44,2.681,0.7839,0.032,72.24,1.2462,0.7864,0.0128,0.7625,0.014,0.7658,0.0105
H3K4me3-H3K9ac-H3K9me3,LogisticRegression,71.94,2.4276,0.779,0.031,71.56,1.27,0.781,0.0133,0.7564,0.0182,0.7548,0.0168
H3K4me3-H3K9ac-H3K9me3-H3K27ac,LogisticRegression,72.04,2.3104,0.7776,0.0264,72.42,1.504,0.786,0.0178,0.764,0.0213,0.748,0.0097
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,71.82,2.2421,0.7684,0.0277,71.96,2.1244,0.7765,0.0193,0.7522,0.0236,0.741,0.0089
H3K4me3-H3K9ac-H3K9me3-H3K27me3,LogisticRegression,71.58,2.6612,0.7697,0.0311,71.22,1.1122,0.7705,0.0167,0.7438,0.0221,0.7478,0.0083
H3K4me3-H3K9me3,LogisticRegression,71.84,2.4976,0.7822,0.0278,71.5,1.468,0.7818,0.0139,0.759,0.019,0.773,0.0163
H3K4me3-H3K9me3-H3K27ac,LogisticRegression,72.48,2.3658,0.7828,0.0261,72.88,1.2518,0.793,0.0142,0.7732,0.0207,0.7634,0.016
H3K4me3-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,72.2,2.6608,0.7742,0.0285,72.52,1.3461,0.7825,0.0169,0.7602,0.0244,0.7566,0.0116
H3K4me3-H3K9me3-H3K27me3,LogisticRegression,71.42,2.5888,0.7735,0.0294,71.06,1.6118,0.7703,0.0178,0.7452,0.0231,0.7668,0.0166
H3K9ac,LogisticRegression,72.82,2.2432,0.7908,0.0228,72.24,1.2033,0.794,0.0126,0.7648,0.0078,0.7352,0.0103
H3K9ac-H3K27ac,LogisticRegression,73.5,2.5739,0.7943,0.0211,73.06,1.4993,0.801,0.0159,0.7757,0.0158,0.753,0.0095
H3K9ac-H3K27ac-H3K27me3,LogisticRegression,72.76,2.1755,0.7836,0.0215,72.3,1.6778,0.7892,0.0168,0.763,0.0187,0.7508,0.0079
H3K9ac-H3K27me3,LogisticRegression,72.48,2.1183,0.7804,0.0229,71.54,1.2219,0.7817,0.014,0.75,0.0105,0.7372,0.0106
H3K9ac-H3K9me3,LogisticRegression,71.84,1.8876,0.7743,0.0198,71.12,0.9731,0.7756,0.0152,0.741,0.0214,0.7312,0.0114
H3K9ac-H3K9me3-H3K27ac,LogisticRegression,72.14,2.0477,0.7787,0.0186,72.02,1.545,0.7847,0.0163,0.7553,0.019,0.7464,0.0146
H3K9ac-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,71.86,2.1984,0.7702,0.0205,71.4,1.779,0.7747,0.0181,0.7434,0.0215,0.7416,0.0113
H3K9ac-H3K9me3-H3K27me3,LogisticRegression,71.38,1.9045,0.7644,0.0209,70.54,1.1216,0.7646,0.0171,0.729,0.0228,0.7294,0.0116
H3K9me3,LogisticRegression,51.92,1.2458,0.5019,0.0054,50.54,0.5413,0.5032,0.0085,0.5003,0.0129,0.058,0.0063
H3K9me3-H3K27ac,LogisticRegression,71.66,2.4203,0.7725,0.0228,72.28,1.2988,0.7842,0.0159,0.7568,0.0208,0.756,0.0137
H3K9me3-H3K27ac-H3K27me3,LogisticRegression,71.26,2.5667,0.7643,0.0254,71.78,1.2256,0.7736,0.0169,0.7445,0.0232,0.7498,0.0149
H3K9me3-H3K27me3,LogisticRegression,52.46,1.3183,0.5184,0.0111,50.94,0.8792,0.5125,0.0096,0.508,0.0119,0.0764,0.0118
