model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
SVM_Linear,1011,H3K4me3,,69.9,0.7636,71.7,0.801,0.7845,0.7506,0.6534,0.6986,0.76
SVM_Linear,123,H3K4me3,,72.8,0.8174,73.0,0.7985,0.7797,0.7558,0.6667,0.7084,0.81
SVM_Linear,42,H3K4me3,,74.3,0.806,74.1,0.8125,0.7975,0.7456,0.7006,0.7224,0.795
SVM_Linear,456,H3K4me3,,75.7,0.8332,72.0,0.791,0.7816,0.7395,0.6543,0.6943,0.807
SVM_Linear,789,H3K4me3,,70.8,0.7758,72.0,0.7984,0.7831,0.7674,0.6362,0.6957,0.77
SVM_Linear,1011,H3K9ac,,69.9,0.7648,71.6,0.7968,0.7689,0.7753,0.6116,0.6837,0.738
SVM_Linear,123,H3K9ac,,73.8,0.8079,71.2,0.7884,0.7588,0.7615,0.6037,0.6735,0.722
SVM_Linear,42,H3K9ac,,72.6,0.7829,73.8,0.8079,0.7728,0.7639,0.659,0.7076,0.732
SVM_Linear,456,H3K9ac,,75.6,0.8187,71.8,0.7752,0.7566,0.7576,0.6173,0.6803,0.742
SVM_Linear,789,H3K9ac,,72.1,0.78,72.2,0.8064,0.7727,0.7922,0.6064,0.6869,0.747
SVM_Linear,1011,H3K9me3,,51.4,0.4968,50.5,0.5266,0.519,0.6522,0.0299,0.0571,0.03
SVM_Linear,123,H3K9me3,,49.8,0.487,51.4,0.5047,0.5021,0.75,0.0183,0.0357,0.017
SVM_Linear,42,H3K9me3,,53.5,0.4986,51.6,0.5097,0.4897,0.4595,0.0353,0.0656,0.035
SVM_Linear,456,H3K9me3,,52.9,0.5157,50.9,0.5017,0.4899,0.4444,0.0412,0.0753,0.055
SVM_Linear,789,H3K9me3,,52.6,0.5026,49.8,0.5012,0.513,0.5152,0.0338,0.0634,0.051
SVM_Linear,1011,H3K27ac,,68.5,0.7574,72.7,0.7925,0.7638,0.7694,0.6514,0.7055,0.766
SVM_Linear,123,H3K27ac,,72.7,0.7895,72.4,0.7951,0.774,0.7621,0.6382,0.6947,0.745
SVM_Linear,42,H3K27ac,,74.5,0.8095,75.7,0.8292,0.8092,0.778,0.6923,0.7327,0.766
SVM_Linear,456,H3K27ac,,74.6,0.8122,72.9,0.7901,0.7746,0.759,0.6481,0.6992,0.771
SVM_Linear,789,H3K27ac,,70.9,0.7714,72.4,0.8042,0.7849,0.7762,0.6342,0.698,0.776
SVM_Linear,1011,H3K27me3,,52.1,0.5164,50.2,0.5041,0.5119,0.625,0.0199,0.0386,0.019
SVM_Linear,123,H3K27me3,,50.4,0.5193,51.5,0.5118,0.5062,0.7059,0.0244,0.0472,0.025
SVM_Linear,42,H3K27me3,,53.5,0.5159,51.5,0.4975,0.4847,0.3889,0.0146,0.0281,0.024
