histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std,test_aucprc_mean,test_aucprc_std,antisymmetry_mean,antisymmetry_std
H3K27ac,SVM_Linear,72.24,2.5822,0.788,0.0238,73.22,1.4025,0.8022,0.016,0.7813,0.0173,0.7648,0.0118
H3K27ac-H3K27me3,SVM_Linear,71.9,2.6029,0.7822,0.0265,72.54,1.2361,0.7928,0.0162,0.7724,0.0135,0.76,0.0121
H3K27me3,SVM_Linear,52.58,1.3773,0.5154,0.0036,50.92,0.9066,0.5041,0.0052,0.5004,0.0115,0.022,0.0032
H3K4me3,SVM_Linear,72.7,2.399,0.7992,0.0289,72.56,0.9915,0.8003,0.0078,0.7853,0.0071,0.7884,0.0224
H3K4me3-H3K27ac,SVM_Linear,72.84,2.4986,0.7973,0.0266,73.6,1.3096,0.8087,0.0137,0.7935,0.0143,0.7746,0.0124
H3K4me3-H3K27ac-H3K27me3,SVM_Linear,72.52,2.5791,0.7908,0.0296,73.0,1.4714,0.8,0.0151,0.7852,0.0136,0.7638,0.0093
H3K4me3-H3K27me3,SVM_Linear,72.14,2.3776,0.7934,0.0291,71.74,1.4775,0.7904,0.011,0.7754,0.0074,0.7812,0.0219
H3K4me3-H3K9ac,SVM_Linear,72.98,2.7526,0.7952,0.0311,72.8,1.1,0.7988,0.0094,0.7785,0.0101,0.7646,0.0079
H3K4me3-H3K9ac-H3K27ac,SVM_Linear,73.06,2.2064,0.7918,0.0268,73.56,1.8703,0.8016,0.0169,0.7823,0.0163,0.7502,0.0097
H3K4me3-H3K9ac-H3K27ac-H3K27me3,SVM_Linear,72.46,2.2898,0.7852,0.0285,72.96,1.7799,0.7927,0.0183,0.7742,0.0157,0.7478,0.0126
H3K4me3-H3K9ac-H3K27me3,SVM_Linear,72.66,2.5764,0.7884,0.0321,72.38,0.996,0.7901,0.0128,0.7701,0.0104,0.7608,0.0092
H3K4me3-H3K9ac-H3K9me3,SVM_Linear,71.24,2.249,0.7738,0.0306,71.44,0.7797,0.7765,0.0106,0.7485,0.0158,0.7516,0.0107
H3K4me3-H3K9ac-H3K9me3-H3K27ac,SVM_Linear,71.5,2.0445,0.7719,0.0247,72.06,1.7068,0.7807,0.0148,0.7547,0.0181,0.7328,0.0182
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,71.3,2.3633,0.7681,0.0285,71.76,1.7644,0.7768,0.0194,0.7508,0.0184,0.7342,0.0181
H3K4me3-H3K9ac-H3K9me3-H3K27me3,SVM_Linear,71.1,2.7803,0.7695,0.0315,70.76,1.0597,0.7711,0.0169,0.7422,0.0195,0.7446,0.0109
H3K4me3-H3K9me3,SVM_Linear,71.62,2.5361,0.7786,0.0283,71.12,0.8843,0.7777,0.0089,0.7522,0.0153,0.7706,0.0154
H3K4me3-H3K9me3-H3K27ac,SVM_Linear,71.74,2.4825,0.7777,0.0244,72.1,1.0464,0.7869,0.0108,0.7631,0.0159,0.7534,0.0138
H3K4me3-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,71.86,2.5165,0.774,0.0268,71.72,1.4464,0.7815,0.0166,0.757,0.0189,0.7458,0.01
H3K4me3-H3K9me3-H3K27me3,SVM_Linear,71.16,2.4183,0.7738,0.0281,70.4,1.4089,0.7708,0.0166,0.7442,0.0198,0.7632,0.0171
H3K9ac,SVM_Linear,72.8,2.1083,0.7909,0.0219,72.12,1.006,0.7949,0.0136,0.766,0.0077,0.7362,0.0097
H3K9ac-H3K27ac,SVM_Linear,73.18,2.1382,0.7948,0.019,73.0,1.7536,0.8003,0.0165,0.776,0.0158,0.7498,0.0099
H3K9ac-H3K27ac-H3K27me3,SVM_Linear,72.88,2.1206,0.787,0.0204,72.44,1.4707,0.793,0.0176,0.769,0.0137,0.7464,0.0059
H3K9ac-H3K27me3,SVM_Linear,72.32,1.9905,0.7833,0.0222,71.52,1.152,0.7846,0.0155,0.7576,0.0069,0.7322,0.0082
H3K9ac-H3K9me3,SVM_Linear,71.26,2.1824,0.7688,0.0232,70.46,1.0644,0.7681,0.0133,0.7305,0.0235,0.7232,0.0148
H3K9ac-H3K9me3-H3K27ac,SVM_Linear,71.66,2.0501,0.7737,0.0177,71.36,1.1718,0.7785,0.0135,0.7454,0.0167,0.7342,0.0115
H3K9ac-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,71.48,2.0885,0.7685,0.0195,71.44,1.5789,0.7724,0.0189,0.7393,0.0186,0.7298,0.0151
H3K9ac-H3K9me3-H3K27me3,SVM_Linear,70.98,2.1052,0.7621,0.023,70.28,1.1777,0.762,0.0167,0.7243,0.0232,0.7184,0.023
H3K9me3,SVM_Linear,52.04,1.4673,0.5001,0.0104,50.84,0.7232,0.5088,0.0105,0.5027,0.0133,0.0376,0.0156
H3K9me3-H3K27ac,SVM_Linear,70.82,2.2676,0.7679,0.0201,71.8,0.9618,0.7772,0.0133,0.7455,0.0208,0.7454,0.02
H3K9me3-H3K27ac-H3K27me3,SVM_Linear,70.72,2.543,0.7633,0.0244,71.26,0.9182,0.7704,0.0168,0.7396,0.0184,0.743,0.0181
H3K9me3-H3K27me3,SVM_Linear,52.84,1.3012,0.5203,0.0112,51.12,0.8815,0.5125,0.0086,0.5082,0.016,0.0642,0.0056
