histone_marker,val_accuracy_mean,val_accuracy_std,test_accuracy_mean,test_accuracy_std
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,68.8269,1.7363753381685683,69.8,2.154065922853801
H3K4me3-H3K9ac-H3K27ac-H3K27me3,68.7243,2.1884683696594713,69.78,1.974082065163457
H3K4me3-H3K9me3-H3K27ac-H3K27me3,68.94534,1.9249448220663334,69.64000000000001,1.6288032416470688
H3K4me3-H3K27ac-H3K27me3,68.69218,1.580696913389791,69.5,1.9144189719076654
H3K4me3-H3K9ac-H3K27me3,68.25845999999999,1.8334614593713168,69.42,1.8390214789392736
H3K9ac-H3K27ac-H3K27me3,68.80820000000001,1.373653413347045,69.4,2.1988633427296063
H3K9ac-H3K9me3-H3K27ac-H3K27me3,69.09054,1.889502357235898,69.38,2.0596116138728693
H3K4me3-H3K27me3,67.93374,2.2754233337996705,69.3,1.7860571099491775
H3K4me3-H3K9me3-H3K27me3,68.5231,1.4009076290034308,69.26,1.8406520583749688
H3K4me3-H3K9ac-H3K9me3-H3K27me3,68.42554,1.9099655515218046,69.24000000000001,1.9869574731231623
H3K9ac-H3K9me3-H3K27me3,68.48799999999999,2.1219860979751974,69.22,2.07773915590962
H3K4me3-H3K9ac-H3K9me3-H3K27ac,68.86144,2.4578360427416595,69.02,1.663430190900722
H3K9me3-H3K27ac-H3K27me3,68.4394,1.9200979922910206,68.88,2.309112383579453
H3K9ac-H3K27me3,68.67138,2.0343740860520194,68.82000000000001,2.3209911675833643
H3K27ac-H3K27me3,67.97344,2.486598775033882,68.64,2.227779163202671
H3K9ac-H3K9me3-H3K27ac,68.676,2.0003243486994835,68.52000000000001,1.1541230437002772
H3K4me3-H3K9ac-H3K27ac,68.51844000000001,2.1073442618613574,68.46,1.7169740825067805
H3K9ac-H3K27ac,68.2159,1.764081503219165,68.42,1.4131525041551558
H3K4me3-H3K9me3-H3K27ac,68.63632,2.7652142660199037,68.38,1.9305439647933456
H3K4me3-H3K9ac-H3K9me3,67.71736,2.008284676782651,68.38,1.6422545478700905
H3K4me3-H3K9ac,67.41882000000001,2.5652429927786615,68.36,1.324009063413088
H3K4me3-H3K27ac,68.07079999999999,2.7010578807200676,68.24,1.4467204291085365
H3K4me3-H3K9me3,67.49068,2.6457533930810717,67.96,1.5805062480104295
H3K9me3-H3K27ac,68.3302,2.2909615230291394,67.96,1.697939928266011
H3K9ac-H3K9me3,67.616,2.2306063077109837,67.94,1.4484474446799962
H3K27ac,67.67312,2.3673439699376195,67.6,1.2629330940315102
H3K9ac,67.19648,1.7475936632981945,67.46000000000001,1.176010204037365
H3K4me3,67.29304,2.1803468458022883,67.38,1.4720733677368099
H3K9me3-H3K27me3,63.3154,1.1869095584752827,64.25999999999999,2.358601280420239
H3K27me3,58.806459999999994,1.0954692410104447,59.82000000000001,2.2509997778764914
H3K9me3,55.71276,1.8764335820913065,56.3,0.7382411530116695
