model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
DirectRanker,1011,H3K4me3,42,67.5,0.77,67.2,0.7593,0.7273,0.6434,0.7231,0.6809,0.903
LogisticRegression,1011,H3K4me3,,69.5,0.7562,70.5,0.7447,0.6833,0.7234,0.6322,0.6748,0.752
RandomForest,1011,H3K4me3,,70.3,0.7907,69.5,0.775,0.7539,0.7039,0.6384,0.6696,0.741
SVM_Linear,1011,H3K4me3,,69.3,0.756,70.6,0.745,0.6838,0.7251,0.6322,0.6755,0.751
DirectRanker,123,H3K4me3,46,66.3,0.74,68.3,0.7495,0.7037,0.6508,0.7386,0.6919,0.902
LogisticRegression,123,H3K4me3,,66.8,0.7177,68.5,0.7356,0.6803,0.7082,0.5892,0.6433,0.731
RandomForest,123,H3K4me3,,67.8,0.746,68.8,0.7615,0.735,0.6968,0.6245,0.6586,0.744
SVM_Linear,123,H3K4me3,,67.7,0.7198,68.8,0.7386,0.6827,0.7146,0.5871,0.6446,0.729
DirectRanker,42,H3K4me3,36,70.6,0.78,67.1,0.7709,0.7134,0.6232,0.7398,0.6765,0.936
LogisticRegression,42,H3K4me3,,70.8,0.7693,69.4,0.7541,0.6788,0.674,0.6624,0.6681,0.742
RandomForest,42,H3K4me3,,71.4,0.7947,71.7,0.7935,0.7436,0.6936,0.7011,0.6973,0.749
SVM_Linear,42,H3K4me3,,71.5,0.7726,69.8,0.7556,0.6812,0.6815,0.6581,0.6696,0.74
DirectRanker,456,H3K4me3,40,67.6,0.75,65.2,0.7245,0.684,0.6159,0.7143,0.6615,0.914
LogisticRegression,456,H3K4me3,,67.7,0.7365,67.0,0.7142,0.6517,0.6629,0.6239,0.6429,0.778
RandomForest,456,H3K4me3,,71.1,0.778,67.9,0.7503,0.7146,0.6718,0.6366,0.6537,0.752
SVM_Linear,456,H3K4me3,,67.9,0.7382,66.8,0.7135,0.6525,0.6636,0.6134,0.6376,0.766
DirectRanker,789,H3K4me3,34,64.4,0.72,69.1,0.7771,0.7362,0.6505,0.761,0.7014,0.9
LogisticRegression,789,H3K4me3,,66.5,0.697,71.3,0.7705,0.7301,0.723,0.6457,0.6822,0.745
RandomForest,789,H3K4me3,,65.6,0.7421,69.1,0.7773,0.7504,0.6803,0.6646,0.6723,0.713
SVM_Linear,789,H3K4me3,,66.4,0.6967,71.1,0.7713,0.7303,0.7227,0.6394,0.6785,0.739
DirectRanker,1011,H3K9ac,34,66.7,0.75,67.7,0.7404,0.7093,0.6499,0.7211,0.6836,0.937
LogisticRegression,1011,H3K9ac,,66.8,0.7275,67.4,0.7162,0.672,0.6837,0.6074,0.6433,0.772
RandomForest,1011,H3K9ac,,69.8,0.7693,69.6,0.7651,0.7417,0.6907,0.6736,0.682,0.779
SVM_Linear,1011,H3K9ac,,66.8,0.7288,67.6,0.7184,0.6757,0.6896,0.6012,0.6424,0.763
DirectRanker,123,H3K9ac,47,66.5,0.73,67.4,0.7506,0.7089,0.6494,0.7033,0.6753,0.924
LogisticRegression,123,H3K9ac,,67.5,0.7297,68.5,0.7482,0.6931,0.7052,0.5954,0.6457,0.755
RandomForest,123,H3K9ac,,67.5,0.7431,69.9,0.7731,0.7351,0.708,0.639,0.6718,0.779
SVM_Linear,123,H3K9ac,,67.3,0.73,67.9,0.7475,0.6956,0.7048,0.5747,0.6331,0.743
DirectRanker,42,H3K9ac,100,69.6,0.78,69.0,0.7731,0.7189,0.6417,0.7548,0.6937,0.948
LogisticRegression,42,H3K9ac,,70.4,0.7532,69.8,0.7534,0.6994,0.6891,0.6387,0.6629,0.736
RandomForest,42,H3K9ac,,70.8,0.781,71.7,0.7829,0.7265,0.6865,0.7204,0.703,0.779
SVM_Linear,42,H3K9ac,,70.6,0.7539,70.2,0.7534,0.6975,0.6965,0.6366,0.6652,0.741
DirectRanker,456,H3K9ac,95,67.9,0.75,65.7,0.717,0.6789,0.622,0.7122,0.6641,0.937
LogisticRegression,456,H3K9ac,,69.1,0.7409,64.3,0.6894,0.6488,0.6362,0.584,0.609,0.761
RandomForest,456,H3K9ac,,69.8,0.7676,66.9,0.7399,0.6943,0.6507,0.6576,0.6541,0.778
SVM_Linear,456,H3K9ac,,69.0,0.7406,63.8,0.6896,0.6489,0.6332,0.5693,0.5996,0.746
DirectRanker,789,H3K9ac,100,65.4,0.71,67.5,0.7544,0.7174,0.6382,0.7358,0.6835,0.927
LogisticRegression,789,H3K9ac,,67.1,0.7057,68.0,0.7392,0.6871,0.691,0.5954,0.6396,0.764
RandomForest,789,H3K9ac,,68.1,0.7593,70.6,0.7759,0.7519,0.6968,0.6792,0.6879,0.746
SVM_Linear,789,H3K9ac,,66.7,0.7072,67.9,0.7407,0.6866,0.6931,0.587,0.6356,0.754
DirectRanker,1011,H3K9me3,100,56.7,0.59,56.7,0.6106,0.5687,0.5399,0.7128,0.6144,0.749
LogisticRegression,1011,H3K9me3,,55.0,0.5716,57.6,0.599,0.5609,0.6014,0.3678,0.4564,0.506
RandomForest,1011,H3K9me3,,58.2,0.6083,59.0,0.6165,0.5971,0.6076,0.4318,0.5048,0.555
SVM_Linear,1011,H3K9me3,,55.1,0.5735,58.1,0.5976,0.5602,0.6295,0.3264,0.4299,0.456
