model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
DirectRanker,1011,H3K4me3,42,67.5,0.77,67.2,0.7593,0.7273,0.6434,0.7231,0.6809,0.903
DirectRanker,123,H3K4me3,46,66.3,0.74,68.3,0.7495,0.7037,0.6508,0.7386,0.6919,0.902
DirectRanker,42,H3K4me3,36,70.6,0.78,67.1,0.7709,0.7134,0.6232,0.7398,0.6765,0.936
DirectRanker,456,H3K4me3,40,67.6,0.75,65.2,0.7245,0.684,0.6159,0.7143,0.6615,0.914
DirectRanker,789,H3K4me3,34,64.4,0.72,69.1,0.7771,0.7362,0.6505,0.761,0.7014,0.9
DirectRanker,1011,H3K9ac,34,66.7,0.75,67.7,0.7404,0.7093,0.6499,0.7211,0.6836,0.937
DirectRanker,123,H3K9ac,47,66.5,0.73,67.4,0.7506,0.7089,0.6494,0.7033,0.6753,0.924
DirectRanker,42,H3K9ac,100,69.6,0.78,69.0,0.7731,0.7189,0.6417,0.7548,0.6937,0.948
DirectRanker,456,H3K9ac,95,67.9,0.75,65.7,0.717,0.6789,0.622,0.7122,0.6641,0.937
DirectRanker,789,H3K9ac,100,65.4,0.71,67.5,0.7544,0.7174,0.6382,0.7358,0.6835,0.927
DirectRanker,1011,H3K9me3,100,56.7,0.59,56.7,0.6106,0.5687,0.5399,0.7128,0.6144,0.749
DirectRanker,123,H3K9me3,100,58.1,0.61,56.8,0.6128,0.5859,0.5425,0.6618,0.5963,0.78
DirectRanker,42,H3K9me3,100,57.0,0.62,56.5,0.6145,0.538,0.5244,0.6925,0.5968,0.809
DirectRanker,456,H3K9me3,100,57.1,0.61,55.0,0.5836,0.5466,0.5212,0.6702,0.5864,0.78
DirectRanker,789,H3K9me3,97,52.6,0.56,56.5,0.6184,0.5808,0.5342,0.6876,0.6013,0.779
DirectRanker,1011,H3K27ac,77,67.2,0.76,67.7,0.7546,0.7237,0.642,0.7521,0.6927,0.866
DirectRanker,123,H3K27ac,100,67.9,0.73,68.0,0.7536,0.7106,0.6452,0.7469,0.6923,0.87
DirectRanker,42,H3K27ac,100,70.2,0.79,69.2,0.7888,0.7293,0.636,0.7892,0.7044,0.877
DirectRanker,456,H3K27ac,100,69.2,0.77,65.7,0.7332,0.6977,0.6157,0.7437,0.6736,0.874
DirectRanker,789,H3K27ac,100,64.3,0.74,67.4,0.7756,0.7484,0.6304,0.7652,0.6913,0.874
DirectRanker,1011,H3K27me3,100,58.4,0.65,59.9,0.6527,0.6006,0.5601,0.7996,0.6587,0.616
DirectRanker,123,H3K27me3,100,58.5,0.62,62.1,0.6821,0.6366,0.5752,0.8174,0.6752,0.616
DirectRanker,42,H3K27me3,100,60.0,0.67,62.0,0.6801,0.6199,0.5619,0.8301,0.6701,0.618
DirectRanker,456,H3K27me3,100,57.6,0.65,57.6,0.6199,0.5768,0.5363,0.8067,0.6443,0.59
DirectRanker,789,H3K27me3,68,59.7,0.66,57.5,0.6559,0.6159,0.5355,0.8218,0.6485,0.598
DirectRanker,1011,H3K4me3-H3K9ac,40,67.5,0.77,68.6,0.7619,0.7308,0.6616,0.719,0.6891,0.944
DirectRanker,123,H3K4me3-H3K9ac,44,66.2,0.74,68.5,0.7526,0.7109,0.6561,0.7282,0.6903,0.93
DirectRanker,42,H3K4me3-H3K9ac,49,71.0,0.78,68.4,0.7714,0.7145,0.6352,0.7527,0.689,0.954
DirectRanker,456,H3K4me3-H3K9ac,57,68.1,0.76,66.3,0.7261,0.6927,0.6294,0.7101,0.6673,0.943
DirectRanker,789,H3K4me3-H3K9ac,75,64.0,0.72,70.0,0.785,0.7454,0.6618,0.7589,0.707,0.932
DirectRanker,1011,H3K4me3-H3K9me3,68,68.0,0.77,68.3,0.7616,0.7301,0.6597,0.7128,0.6852,0.945
DirectRanker,123,H3K4me3-H3K9me3,19,66.7,0.73,68.2,0.7505,0.7071,0.6547,0.7199,0.6858,0.943
DirectRanker,42,H3K4me3-H3K9me3,42,70.8,0.78,67.9,0.7755,0.7179,0.6324,0.7398,0.6819,0.966
DirectRanker,456,H3K4me3-H3K9me3,42,68.0,0.75,65.5,0.7204,0.6761,0.6248,0.6891,0.6553,0.952
DirectRanker,789,H3K4me3-H3K9me3,40,63.9,0.72,69.9,0.7808,0.7438,0.666,0.74,0.7011,0.936
DirectRanker,1011,H3K4me3-H3K27ac,100,68.8,0.78,67.4,0.7653,0.7393,0.6468,0.719,0.681,0.919
DirectRanker,123,H3K4me3-H3K27ac,46,67.2,0.74,69.6,0.7612,0.719,0.6624,0.7531,0.7049,0.92
DirectRanker,42,H3K4me3-H3K27ac,23,71.0,0.78,69.5,0.7856,0.7251,0.6455,0.7634,0.6995,0.943
DirectRanker,456,H3K4me3-H3K27ac,29,69.6,0.77,66.2,0.7277,0.6924,0.6245,0.7269,0.6718,0.923
DirectRanker,789,H3K4me3-H3K27ac,58,64.7,0.73,68.5,0.7821,0.748,0.6462,0.7505,0.6945,0.923
DirectRanker,1011,H3K4me3-H3K27me3,37,68.0,0.77,69.4,0.7758,0.737,0.6712,0.7211,0.6952,0.97
DirectRanker,123,H3K4me3-H3K27me3,84,66.8,0.74,71.2,0.7779,0.738,0.6873,0.7386,0.712,0.977
DirectRanker,42,H3K4me3-H3K27me3,56,71.1,0.79,69.0,0.783,0.7392,0.6449,0.7419,0.69,0.984
DirectRanker,456,H3K4me3-H3K27me3,36,69.1,0.77,66.5,0.7261,0.6974,0.6385,0.6828,0.6599,0.974
DirectRanker,789,H3K4me3-H3K27me3,57,65.1,0.72,70.4,0.7856,0.7458,0.6679,0.7547,0.7087,0.957
DirectRanker,1011,H3K9ac-H3K9me3,100,67.1,0.76,67.6,0.7435,0.721,0.6538,0.7025,0.6773,0.962
DirectRanker,123,H3K9ac-H3K9me3,100,66.5,0.74,69.0,0.7613,0.7219,0.668,0.7095,0.6881,0.952
DirectRanker,42,H3K9ac-H3K9me3,100,70.8,0.79,69.4,0.7775,0.7352,0.6503,0.7398,0.6922,0.965
DirectRanker,456,H3K9ac-H3K9me3,100,69.7,0.78,65.7,0.7343,0.7078,0.6276,0.687,0.656,0.959
DirectRanker,789,H3K9ac-H3K9me3,100,66.3,0.72,68.0,0.7592,0.7226,0.6462,0.7275,0.6844,0.951
DirectRanker,1011,H3K9ac-H3K27ac,100,68.5,0.77,68.5,0.7623,0.7459,0.6603,0.719,0.6884,0.946
DirectRanker,123,H3K9ac-H3K27ac,80,67.3,0.74,67.9,0.76,0.7274,0.6528,0.7137,0.6819,0.933
DirectRanker,42,H3K9ac-H3K27ac,100,69.8,0.78,70.6,0.7771,0.7162,0.6569,0.7699,0.7089,0.954
DirectRanker,456,H3K9ac-H3K27ac,100,70.0,0.78,66.7,0.7371,0.699,0.6307,0.7248,0.6745,0.939
DirectRanker,789,H3K9ac-H3K27ac,100,66.0,0.74,68.4,0.7685,0.737,0.6445,0.7526,0.6944,0.936
DirectRanker,1011,H3K9ac-H3K27me3,100,68.2,0.77,69.3,0.7739,0.7384,0.6692,0.7231,0.6951,0.975
DirectRanker,123,H3K9ac-H3K27me3,100,68.3,0.74,71.0,0.7878,0.7606,0.6897,0.7241,0.7065,0.979
DirectRanker,42,H3K9ac-H3K27me3,100,70.9,0.8,69.0,0.793,0.7623,0.6476,0.7312,0.6869,0.982
DirectRanker,456,H3K9ac-H3K27me3,71,70.2,0.77,64.9,0.7181,0.6918,0.6204,0.6765,0.6472,0.978
DirectRanker,789,H3K9ac-H3K27me3,100,66.7,0.75,69.9,0.7789,0.7496,0.6648,0.7442,0.7023,0.966
DirectRanker,1011,H3K9me3-H3K27ac,100,67.9,0.77,68.6,0.7679,0.7407,0.6647,0.7087,0.686,0.944
DirectRanker,123,H3K9me3-H3K27ac,100,67.7,0.73,68.3,0.7586,0.7215,0.6583,0.7116,0.6839,0.943
DirectRanker,42,H3K9me3-H3K27ac,100,71.4,0.79,69.8,0.7932,0.7465,0.649,0.7634,0.7016,0.946
DirectRanker,456,H3K9me3-H3K27ac,100,70.0,0.78,65.2,0.7355,0.7082,0.6217,0.687,0.6527,0.944
DirectRanker,789,H3K9me3-H3K27ac,100,65.4,0.75,67.9,0.7714,0.7424,0.6408,0.7442,0.6887,0.935
DirectRanker,1011,H3K9me3-H3K27me3,100,63.7,0.69,63.3,0.7091,0.6697,0.6021,0.7128,0.6528,0.87
DirectRanker,123,H3K9me3-H3K27me3,100,64.5,0.69,66.8,0.7317,0.7002,0.6384,0.7178,0.6758,0.89
DirectRanker,42,H3K9me3-H3K27me3,100,65.8,0.73,65.6,0.7292,0.6778,0.6082,0.7312,0.6641,0.908
