histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std,test_aucprc_mean,test_aucprc_std,antisymmetry_mean,antisymmetry_std
H3K27ac,DirectRanker,67.76,2.2546,0.758,0.0239,67.6,1.2629,0.7612,0.0215,0.7219,0.0192,0.8722,0.0043
H3K27ac-H3K27me3,DirectRanker,68.2,2.0905,0.758,0.0286,68.64,2.2278,0.7668,0.0313,0.7324,0.0295,0.9768,0.0063
H3K27me3,DirectRanker,58.84,0.9915,0.65,0.0187,59.82,2.251,0.6581,0.0253,0.61,0.0225,0.6076,0.0128
H3K4me3,DirectRanker,67.28,2.2599,0.752,0.0239,67.38,1.4721,0.7563,0.0207,0.7129,0.0204,0.911,0.015
H3K4me3-H3K27ac,DirectRanker,68.26,2.4183,0.76,0.0235,68.24,1.4467,0.7644,0.023,0.7248,0.0214,0.9256,0.0099
H3K4me3-H3K27ac-H3K27me3,DirectRanker,68.68,1.5643,0.764,0.0195,69.5,1.9144,0.7718,0.0227,0.734,0.0208,0.9792,0.0065
H3K4me3-H3K27me3,DirectRanker,68.02,2.2731,0.758,0.0277,69.3,1.7861,0.7697,0.0247,0.7315,0.0194,0.9724,0.01
H3K4me3-H3K9ac,DirectRanker,67.36,2.5716,0.754,0.0241,68.36,1.324,0.7594,0.0221,0.7189,0.0201,0.9406,0.0098
H3K4me3-H3K9ac-H3K27ac,DirectRanker,68.62,2.0693,0.762,0.0249,68.46,1.717,0.7626,0.0204,0.7225,0.0205,0.9468,0.0085
H3K4me3-H3K9ac-H3K27ac-H3K27me3,DirectRanker,68.76,2.348,0.768,0.0277,69.78,1.9741,0.7717,0.0233,0.7331,0.0272,0.981,0.0057
H3K4me3-H3K9ac-H3K27me3,DirectRanker,68.24,1.5758,0.762,0.0277,69.42,1.839,0.7713,0.0217,0.7358,0.0186,0.977,0.0068
H3K4me3-H3K9ac-H3K9me3,DirectRanker,67.8,2.0075,0.754,0.023,68.38,1.6423,0.7597,0.0242,0.7148,0.0263,0.9608,0.0069
H3K4me3-H3K9ac-H3K9me3-H3K27ac,DirectRanker,69.38,2.4844,0.77,0.0283,69.02,1.6634,0.7701,0.0201,0.7348,0.02,0.9654,0.0067
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,DirectRanker,69.18,1.8512,0.77,0.0255,69.8,2.1541,0.7749,0.0201,0.7396,0.0208,0.9846,0.0052
H3K4me3-H3K9ac-H3K9me3-H3K27me3,DirectRanker,68.92,1.7697,0.768,0.0239,69.24,1.987,0.7696,0.0232,0.7327,0.0224,0.981,0.0068
H3K4me3-H3K9me3,DirectRanker,67.48,2.4994,0.75,0.0255,67.96,1.5805,0.7578,0.024,0.715,0.0257,0.9484,0.0114
H3K4me3-H3K9me3-H3K27ac,DirectRanker,68.82,2.6214,0.762,0.0259,68.38,1.9305,0.7659,0.0244,0.7285,0.0253,0.9576,0.0071
H3K4me3-H3K9me3-H3K27ac-H3K27me3,DirectRanker,69.18,1.747,0.772,0.0259,69.64,1.6288,0.7765,0.0233,0.7389,0.0213,0.9832,0.0058
H3K4me3-H3K9me3-H3K27me3,DirectRanker,68.74,1.2602,0.76,0.0245,69.26,1.8407,0.7716,0.0232,0.7336,0.0207,0.9772,0.0099
H3K9ac,DirectRanker,67.22,1.5991,0.744,0.0261,67.46,1.176,0.7471,0.0206,0.7067,0.0162,0.9346,0.0095
H3K9ac-H3K27ac,DirectRanker,68.32,1.6932,0.762,0.0205,68.42,1.4132,0.761,0.0149,0.7251,0.0183,0.9416,0.0084
H3K9ac-H3K27ac-H3K27me3,DirectRanker,69.3,1.6371,0.768,0.0205,69.4,2.1989,0.7726,0.024,0.7423,0.0247,0.9802,0.0054
H3K9ac-H3K27me3,DirectRanker,68.86,1.6861,0.766,0.023,68.82,2.321,0.7703,0.0301,0.7405,0.0289,0.976,0.0061
H3K9ac-H3K9me3,DirectRanker,68.08,2.0401,0.758,0.0286,67.94,1.4484,0.7552,0.0168,0.7217,0.0097,0.9578,0.0061
H3K9ac-H3K9me3-H3K27ac,DirectRanker,69.16,2.0707,0.768,0.0259,68.52,1.1541,0.7659,0.0162,0.7334,0.0119,0.963,0.0066
H3K9ac-H3K9me3-H3K27ac-H3K27me3,DirectRanker,69.52,1.6589,0.778,0.0179,69.38,2.0596,0.7763,0.0206,0.7499,0.0245,0.984,0.0048
H3K9ac-H3K9me3-H3K27me3,DirectRanker,68.62,2.0179,0.772,0.0217,69.22,2.0777,0.7736,0.0259,0.7422,0.0248,0.9802,0.0061
H3K9me3,DirectRanker,56.3,2.1342,0.598,0.0239,56.3,0.7382,0.608,0.0139,0.564,0.021,0.7794,0.0212
H3K9me3-H3K27ac,DirectRanker,68.48,2.3059,0.764,0.0241,67.96,1.6979,0.7653,0.0209,0.7319,0.0164,0.9424,0.0043
H3K9me3-H3K27ac-H3K27me3,DirectRanker,68.82,1.4272,0.764,0.0195,68.88,2.3091,0.7712,0.0294,0.7374,0.0284,0.981,0.0056
H3K9me3-H3K27me3,DirectRanker,64.04,1.4639,0.7,0.02,64.26,2.3586,0.7088,0.0334,0.6707,0.0311,0.8876,0.0141
