model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
LogisticRegression,1011,H3K4me3,,69.5,0.7562,70.5,0.7447,0.6833,0.7234,0.6322,0.6748,0.752
LogisticRegression,123,H3K4me3,,66.8,0.7177,68.5,0.7356,0.6803,0.7082,0.5892,0.6433,0.731
LogisticRegression,42,H3K4me3,,70.8,0.7693,69.4,0.7541,0.6788,0.674,0.6624,0.6681,0.742
LogisticRegression,456,H3K4me3,,67.7,0.7365,67.0,0.7142,0.6517,0.6629,0.6239,0.6429,0.778
LogisticRegression,789,H3K4me3,,66.5,0.697,71.3,0.7705,0.7301,0.723,0.6457,0.6822,0.745
LogisticRegression,1011,H3K9ac,,66.8,0.7275,67.4,0.7162,0.672,0.6837,0.6074,0.6433,0.772
LogisticRegression,123,H3K9ac,,67.5,0.7297,68.5,0.7482,0.6931,0.7052,0.5954,0.6457,0.755
LogisticRegression,42,H3K9ac,,70.4,0.7532,69.8,0.7534,0.6994,0.6891,0.6387,0.6629,0.736
LogisticRegression,456,H3K9ac,,69.1,0.7409,64.3,0.6894,0.6488,0.6362,0.584,0.609,0.761
LogisticRegression,789,H3K9ac,,67.1,0.7057,68.0,0.7392,0.6871,0.691,0.5954,0.6396,0.764
LogisticRegression,1011,H3K9me3,,55.0,0.5716,57.6,0.599,0.5609,0.6014,0.3678,0.4564,0.506
LogisticRegression,123,H3K9me3,,58.6,0.6138,56.0,0.5775,0.5682,0.5745,0.3361,0.4241,0.524
LogisticRegression,42,H3K9me3,,59.0,0.5951,57.6,0.5855,0.5251,0.5568,0.4323,0.4867,0.585
LogisticRegression,456,H3K9me3,,58.7,0.596,55.1,0.5601,0.5271,0.5347,0.437,0.4809,0.584
LogisticRegression,789,H3K9me3,,54.6,0.5461,59.1,0.5932,0.5549,0.595,0.4465,0.5102,0.569
LogisticRegression,1011,H3K27ac,,68.3,0.7354,68.9,0.7254,0.6809,0.7179,0.5888,0.647,0.71
LogisticRegression,123,H3K27ac,,66.4,0.704,66.7,0.7147,0.6565,0.703,0.5353,0.6078,0.706
LogisticRegression,42,H3K27ac,,71.0,0.7613,70.5,0.7627,0.7055,0.7063,0.6258,0.6636,0.721
LogisticRegression,456,H3K27ac,,69.3,0.7426,66.6,0.7067,0.6558,0.6732,0.5798,0.623,0.728
LogisticRegression,789,H3K27ac,,67.0,0.7084,68.4,0.7235,0.6733,0.6912,0.6101,0.6481,0.731
LogisticRegression,1011,H3K27me3,,58.2,0.6192,54.8,0.5927,0.5522,0.5656,0.2851,0.3791,0.432
LogisticRegression,123,H3K27me3,,55.6,0.5956,58.9,0.6537,0.6132,0.634,0.3485,0.4498,0.45
LogisticRegression,42,H3K27me3,,55.1,0.6046,59.3,0.6474,0.6032,0.609,0.3484,0.4432,0.458
LogisticRegression,456,H3K27me3,,58.8,0.6166,55.9,0.574,0.5574,0.567,0.3109,0.4016,0.433
