histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std,test_aucprc_mean,test_aucprc_std,antisymmetry_mean,antisymmetry_std
H3K27ac,LogisticRegression,68.4,1.8398,0.7303,0.024,68.22,1.63,0.7266,0.0215,0.6744,0.0205,0.7192,0.0109
H3K27ac-H3K27me3,LogisticRegression,67.46,1.8849,0.7221,0.0244,67.5,2.0187,0.7215,0.0253,0.6801,0.0238,0.7816,0.0105
H3K27me3,LogisticRegression,56.94,1.5994,0.6118,0.0114,57.16,1.9256,0.6116,0.0363,0.5769,0.0289,0.4326,0.0263
H3K4me3,LogisticRegression,68.26,1.8393,0.7353,0.029,69.34,1.6861,0.7438,0.021,0.6848,0.0283,0.7496,0.0176
H3K4me3-H3K27ac,LogisticRegression,68.56,2.1466,0.734,0.0272,68.58,1.63,0.732,0.0133,0.6774,0.0176,0.7242,0.0171
H3K4me3-H3K27ac-H3K27me3,LogisticRegression,67.86,2.0057,0.7314,0.0285,67.94,1.6257,0.7321,0.0168,0.6849,0.0199,0.7438,0.011
H3K4me3-H3K27me3,LogisticRegression,67.44,1.5291,0.733,0.0274,68.32,2.1534,0.7435,0.0264,0.6941,0.028,0.77,0.0096
H3K4me3-H3K9ac,LogisticRegression,68.3,1.6,0.7355,0.0196,68.2,1.9039,0.7303,0.0223,0.6737,0.0255,0.7218,0.0107
H3K4me3-H3K9ac-H3K27ac,LogisticRegression,68.4,1.5937,0.7331,0.0201,67.8,1.4213,0.7228,0.013,0.6684,0.0162,0.7118,0.0062
H3K4me3-H3K9ac-H3K27ac-H3K27me3,LogisticRegression,67.42,1.532,0.7298,0.0208,67.26,2.2612,0.722,0.0169,0.6729,0.0199,0.7276,0.014
H3K4me3-H3K9ac-H3K27me3,LogisticRegression,67.56,1.3777,0.7331,0.0181,67.44,2.5363,0.7299,0.03,0.6835,0.03,0.7394,0.0208
H3K4me3-H3K9ac-H3K9me3,LogisticRegression,67.88,1.757,0.7297,0.0227,68.1,1.9144,0.7226,0.0232,0.6666,0.0227,0.7076,0.0158
H3K4me3-H3K9ac-H3K9me3-H3K27ac,LogisticRegression,67.66,0.9529,0.7271,0.0198,67.42,1.1345,0.7167,0.0125,0.6593,0.0193,0.7056,0.0115
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,66.4,1.423,0.7217,0.0203,66.3,1.43,0.7104,0.0146,0.6572,0.0179,0.7098,0.0127
H3K4me3-H3K9ac-H3K9me3-H3K27me3,LogisticRegression,66.66,1.4117,0.7231,0.0202,66.94,2.4048,0.717,0.0252,0.6668,0.0225,0.7078,0.021
H3K4me3-H3K9me3,LogisticRegression,67.36,2.3469,0.7299,0.0293,67.72,1.7196,0.7344,0.0206,0.6799,0.0263,0.7374,0.0182
H3K4me3-H3K9me3-H3K27ac,LogisticRegression,67.78,2.6253,0.729,0.0277,67.86,0.8961,0.7253,0.0134,0.6727,0.0215,0.718,0.0167
H3K4me3-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,66.74,2.7996,0.7227,0.0268,67.28,1.1692,0.7205,0.0149,0.6714,0.021,0.7206,0.0113
H3K4me3-H3K9me3-H3K27me3,LogisticRegression,66.58,2.3048,0.7233,0.027,67.32,1.8966,0.7292,0.0233,0.68,0.0247,0.7282,0.0136
H3K9ac,LogisticRegression,68.18,1.5255,0.7314,0.0176,67.6,2.0457,0.7293,0.0265,0.6801,0.0202,0.7576,0.0135
H3K9ac-H3K27ac,LogisticRegression,68.54,1.3539,0.7321,0.0174,67.84,0.8173,0.7205,0.0133,0.6725,0.0128,0.7286,0.0078
H3K9ac-H3K27ac-H3K27me3,LogisticRegression,67.24,1.0831,0.7305,0.0191,67.4,1.6912,0.7258,0.0234,0.6827,0.0238,0.7498,0.0085
H3K9ac-H3K27me3,LogisticRegression,67.6,1.5033,0.7324,0.0164,67.92,3.1324,0.7354,0.037,0.695,0.0334,0.7776,0.0203
H3K9ac-H3K9me3,LogisticRegression,68.04,1.1971,0.729,0.0189,67.64,2.0756,0.7214,0.026,0.6746,0.0161,0.7488,0.0083
H3K9ac-H3K9me3-H3K27ac,LogisticRegression,67.74,1.2915,0.73,0.019,67.36,2.0756,0.714,0.0139,0.6657,0.0146,0.7284,0.0076
H3K9ac-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,66.84,1.4926,0.7223,0.0177,66.4,2.1331,0.7137,0.0192,0.669,0.0193,0.7276,0.0123
H3K9ac-H3K9me3-H3K27me3,LogisticRegression,66.58,1.006,0.7223,0.0152,66.98,3.2553,0.7206,0.0291,0.6778,0.023,0.7436,0.015
H3K9me3,LogisticRegression,57.18,2.1822,0.5845,0.0262,57.08,1.5579,0.5831,0.0152,0.5472,0.0199,0.5536,0.0364
H3K9me3-H3K27ac,LogisticRegression,67.28,1.5023,0.7188,0.0221,66.92,2.3784,0.7095,0.0201,0.6637,0.0236,0.7226,0.0207
H3K9me3-H3K27ac-H3K27me3,LogisticRegression,66.58,1.6022,0.7112,0.0222,66.4,2.4668,0.7076,0.0203,0.665,0.0256,0.7396,0.0142
H3K9me3-H3K27me3,LogisticRegression,61.48,1.1167,0.6584,0.0136,63.3,2.1737,0.6719,0.0248,0.6298,0.0233,0.6616,0.0261
