model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
RandomForest,1011,H3K4me3,,70.3,0.7907,69.5,0.775,0.7539,0.7039,0.6384,0.6696,0.741
RandomForest,123,H3K4me3,,67.8,0.746,68.8,0.7615,0.735,0.6968,0.6245,0.6586,0.744
RandomForest,42,H3K4me3,,71.4,0.7947,71.7,0.7935,0.7436,0.6936,0.7011,0.6973,0.749
RandomForest,456,H3K4me3,,71.1,0.778,67.9,0.7503,0.7146,0.6718,0.6366,0.6537,0.752
RandomForest,789,H3K4me3,,65.6,0.7421,69.1,0.7773,0.7504,0.6803,0.6646,0.6723,0.713
RandomForest,1011,H3K9ac,,69.8,0.7693,69.6,0.7651,0.7417,0.6907,0.6736,0.682,0.779
RandomForest,123,H3K9ac,,67.5,0.7431,69.9,0.7731,0.7351,0.708,0.639,0.6718,0.779
RandomForest,42,H3K9ac,,70.8,0.781,71.7,0.7829,0.7265,0.6865,0.7204,0.703,0.779
RandomForest,456,H3K9ac,,69.8,0.7676,66.9,0.7399,0.6943,0.6507,0.6576,0.6541,0.778
RandomForest,789,H3K9ac,,68.1,0.7593,70.6,0.7759,0.7519,0.6968,0.6792,0.6879,0.746
RandomForest,1011,H3K9me3,,58.2,0.6083,59.0,0.6165,0.5971,0.6076,0.4318,0.5048,0.555
RandomForest,123,H3K9me3,,57.9,0.6084,58.0,0.6119,0.5818,0.5934,0.4087,0.484,0.594
RandomForest,42,H3K9me3,,62.1,0.6573,61.8,0.6454,0.5771,0.6101,0.4946,0.5463,0.605
RandomForest,456,H3K9me3,,60.8,0.6379,58.0,0.5991,0.5615,0.5714,0.4706,0.5161,0.595
RandomForest,789,H3K9me3,,57.3,0.5894,59.7,0.6318,0.5968,0.6022,0.457,0.5197,0.574
RandomForest,1011,H3K27ac,,70.5,0.7849,70.1,0.7837,0.742,0.7197,0.626,0.6696,0.734
RandomForest,123,H3K27ac,,68.2,0.7486,71.1,0.7772,0.7374,0.7249,0.6452,0.6828,0.735
RandomForest,42,H3K27ac,,72.5,0.8062,73.3,0.8116,0.7631,0.721,0.6946,0.7076,0.71
RandomForest,456,H3K27ac,,70.4,0.782,68.1,0.7567,0.7094,0.6796,0.6239,0.6506,0.728
