histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std,test_aucprc_mean,test_aucprc_std,antisymmetry_mean,antisymmetry_std
H3K27ac,RandomForest,70.16,1.6134,0.7778,0.0214,70.9,1.9545,0.7828,0.0197,0.7434,0.0226,0.7262,0.0101
H3K27ac-H3K27me3,RandomForest,70.32,2.4641,0.7803,0.0219,70.46,2.3115,0.7861,0.0224,0.7534,0.0201,0.7504,0.0076
H3K27me3,RandomForest,59.88,1.7541,0.6471,0.0192,60.36,1.3539,0.6529,0.0199,0.5947,0.0236,0.4826,0.0195
H3K4me3,RandomForest,69.24,2.4785,0.7703,0.0248,69.4,1.4142,0.7715,0.0164,0.7395,0.0157,0.7398,0.0156
H3K4me3-H3K27ac,RandomForest,70.94,1.9705,0.7851,0.0214,71.0,2.1829,0.785,0.018,0.7504,0.0225,0.7608,0.0129
H3K4me3-H3K27ac-H3K27me3,RandomForest,70.94,2.0574,0.787,0.0204,71.68,1.9917,0.7937,0.019,0.7644,0.0194,0.7674,0.0124
H3K4me3-H3K27me3,RandomForest,70.38,1.9766,0.7779,0.0198,71.06,2.2963,0.7874,0.0224,0.7625,0.0193,0.751,0.0211
H3K4me3-H3K9ac,RandomForest,69.9,2.0616,0.7727,0.0163,70.5,1.4,0.7768,0.0169,0.7437,0.0218,0.77,0.0127
H3K4me3-H3K9ac-H3K27ac,RandomForest,71.0,2.2461,0.7848,0.0192,71.2,1.391,0.7877,0.0148,0.7576,0.0183,0.7706,0.0153
H3K4me3-H3K9ac-H3K27ac-H3K27me3,RandomForest,71.26,2.365,0.7884,0.0184,71.86,2.1019,0.7957,0.0184,0.7675,0.0188,0.774,0.0148
H3K4me3-H3K9ac-H3K27me3,RandomForest,70.38,1.9537,0.7829,0.0184,71.7,2.5739,0.7912,0.0209,0.7638,0.022,0.7734,0.025
H3K4me3-H3K9ac-H3K9me3,RandomForest,69.96,2.3384,0.7729,0.0187,70.78,1.5156,0.7789,0.0161,0.7464,0.0212,0.7762,0.0195
H3K4me3-H3K9ac-H3K9me3-H3K27ac,RandomForest,70.96,1.9578,0.7849,0.0205,70.94,1.9256,0.7869,0.0158,0.7552,0.0186,0.7766,0.0172
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,RandomForest,70.98,2.1371,0.7866,0.0196,72.24,1.641,0.7963,0.0169,0.7692,0.0188,0.7758,0.0222
H3K4me3-H3K9ac-H3K9me3-H3K27me3,RandomForest,70.94,1.877,0.783,0.0181,71.84,2.411,0.7926,0.0204,0.7673,0.0211,0.7734,0.0267
H3K4me3-H3K9me3,RandomForest,69.38,2.1029,0.771,0.0225,70.1,1.0559,0.775,0.0159,0.7429,0.0192,0.7586,0.0154
H3K4me3-H3K9me3-H3K27ac,RandomForest,70.92,2.2027,0.784,0.0209,70.9,1.5297,0.7864,0.0183,0.7531,0.0239,0.7716,0.0149
H3K4me3-H3K9me3-H3K27ac-H3K27me3,RandomForest,71.08,1.9652,0.7876,0.0202,71.68,1.7598,0.7943,0.0191,0.7647,0.021,0.768,0.0235
H3K4me3-H3K9me3-H3K27me3,RandomForest,70.44,1.5241,0.7781,0.019,71.16,1.73,0.7881,0.0214,0.7626,0.023,0.7532,0.0255
H3K9ac,RandomForest,69.2,1.3583,0.7641,0.014,69.74,1.7813,0.7674,0.0166,0.7299,0.022,0.7722,0.0147
H3K9ac-H3K27ac,RandomForest,70.78,1.5834,0.7841,0.0186,71.1,1.8371,0.7863,0.0162,0.7509,0.0219,0.771,0.0148
H3K9ac-H3K27ac-H3K27me3,RandomForest,70.92,1.89,0.7875,0.0167,71.48,2.0117,0.7951,0.0191,0.7641,0.0189,0.7726,0.0167
H3K9ac-H3K27me3,RandomForest,70.52,1.8939,0.781,0.018,71.8,2.359,0.7927,0.0202,0.7653,0.0216,0.7682,0.021
H3K9ac-H3K9me3,RandomForest,69.66,1.7387,0.768,0.0163,70.18,1.8939,0.7749,0.0153,0.7391,0.0189,0.7814,0.0211
H3K9ac-H3K9me3-H3K27ac,RandomForest,70.7,1.2649,0.7839,0.0185,71.1,1.8014,0.7863,0.0149,0.7502,0.0202,0.779,0.0186
H3K9ac-H3K9me3-H3K27ac-H3K27me3,RandomForest,71.1,1.8398,0.7869,0.019,71.9,1.5362,0.7968,0.0169,0.7694,0.0191,0.7718,0.0114
H3K9ac-H3K9me3-H3K27me3,RandomForest,70.38,1.705,0.7818,0.017,71.66,2.1663,0.7933,0.0204,0.7673,0.0214,0.7764,0.0163
H3K9me3,RandomForest,59.26,2.0768,0.6203,0.027,59.3,1.5716,0.6209,0.018,0.5829,0.0149,0.5846,0.02
H3K9me3-H3K27ac,RandomForest,70.38,1.878,0.7784,0.0208,70.64,1.3483,0.7833,0.0149,0.7488,0.0207,0.7558,0.0249
H3K9me3-H3K27ac-H3K27me3,RandomForest,70.56,1.9191,0.7821,0.0224,70.74,1.8202,0.7866,0.0207,0.7577,0.0237,0.7546,0.0171
H3K9me3-H3K27me3,RandomForest,65.04,2.305,0.6996,0.0198,65.92,2.2554,0.7088,0.0308,0.6607,0.0257,0.7394,0.0209
