model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
SVM_Linear,1011,H3K4me3,,69.3,0.756,70.6,0.745,0.6838,0.7251,0.6322,0.6755,0.751
SVM_Linear,123,H3K4me3,,67.7,0.7198,68.8,0.7386,0.6827,0.7146,0.5871,0.6446,0.729
SVM_Linear,42,H3K4me3,,71.5,0.7726,69.8,0.7556,0.6812,0.6815,0.6581,0.6696,0.74
SVM_Linear,456,H3K4me3,,67.9,0.7382,66.8,0.7135,0.6525,0.6636,0.6134,0.6376,0.766
SVM_Linear,789,H3K4me3,,66.4,0.6967,71.1,0.7713,0.7303,0.7227,0.6394,0.6785,0.739
SVM_Linear,1011,H3K9ac,,66.8,0.7288,67.6,0.7184,0.6757,0.6896,0.6012,0.6424,0.763
SVM_Linear,123,H3K9ac,,67.3,0.73,67.9,0.7475,0.6956,0.7048,0.5747,0.6331,0.743
SVM_Linear,42,H3K9ac,,70.6,0.7539,70.2,0.7534,0.6975,0.6965,0.6366,0.6652,0.741
SVM_Linear,456,H3K9ac,,69.0,0.7406,63.8,0.6896,0.6489,0.6332,0.5693,0.5996,0.746
SVM_Linear,789,H3K9ac,,66.7,0.7072,67.9,0.7407,0.6866,0.6931,0.587,0.6356,0.754
SVM_Linear,1011,H3K9me3,,55.1,0.5735,58.1,0.5976,0.5602,0.6295,0.3264,0.4299,0.456
SVM_Linear,123,H3K9me3,,56.7,0.6177,55.6,0.5789,0.5704,0.5979,0.2407,0.3432,0.392
SVM_Linear,42,H3K9me3,,58.5,0.5983,56.8,0.5854,0.5245,0.5559,0.3527,0.4316,0.528
SVM_Linear,456,H3K9me3,,57.5,0.5932,55.3,0.5583,0.5254,0.5428,0.3866,0.4515,0.569
SVM_Linear,789,H3K9me3,,55.0,0.5469,57.8,0.5952,0.5566,0.6096,0.3208,0.4203,0.47
SVM_Linear,1011,H3K27ac,,68.8,0.7366,69.3,0.7279,0.6831,0.7252,0.5888,0.6499,0.706
SVM_Linear,123,H3K27ac,,66.6,0.7053,65.8,0.7148,0.656,0.7,0.5083,0.5889,0.683
SVM_Linear,42,H3K27ac,,71.0,0.7614,71.1,0.762,0.7029,0.7189,0.6215,0.6667,0.709
SVM_Linear,456,H3K27ac,,68.9,0.7432,66.3,0.708,0.6555,0.6716,0.5714,0.6175,0.731
SVM_Linear,789,H3K27ac,,66.6,0.708,68.0,0.7254,0.6741,0.6892,0.5996,0.6413,0.727
