histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std,test_aucprc_mean,test_aucprc_std,antisymmetry_mean,antisymmetry_std
H3K27ac,SVM_Linear,68.38,1.8472,0.7309,0.0239,68.1,2.1783,0.7276,0.0208,0.6743,0.0199,0.7112,0.0192
H3K27ac-H3K27me3,SVM_Linear,67.14,2.0744,0.7222,0.0249,67.22,1.9267,0.7228,0.0253,0.6804,0.0232,0.764,0.0177
H3K27me3,SVM_Linear,56.98,1.504,0.6113,0.0092,56.82,1.9665,0.6099,0.0345,0.5758,0.0283,0.4118,0.0289
H3K4me3,SVM_Linear,68.56,1.9386,0.7367,0.0298,69.42,1.7035,0.7448,0.0214,0.6861,0.0279,0.745,0.0141
H3K4me3-H3K27ac,SVM_Linear,68.4,2.4729,0.7354,0.0287,68.42,1.7035,0.733,0.0147,0.6784,0.0187,0.7104,0.0216
H3K4me3-H3K27ac-H3K27me3,SVM_Linear,67.64,2.5265,0.7321,0.0305,67.8,1.4967,0.7323,0.0174,0.6852,0.0207,0.7292,0.0094
H3K4me3-H3K27me3,SVM_Linear,67.44,1.8257,0.7338,0.0272,68.52,1.7484,0.7446,0.0268,0.6951,0.0295,0.761,0.0092
H3K4me3-H3K9ac,SVM_Linear,68.06,2.1698,0.7363,0.0196,67.96,1.9667,0.732,0.0228,0.6764,0.0244,0.7058,0.0122
H3K4me3-H3K9ac-H3K27ac,SVM_Linear,67.98,1.8966,0.7329,0.0201,67.5,1.2288,0.7226,0.0122,0.6687,0.0164,0.6876,0.0074
H3K4me3-H3K9ac-H3K27ac-H3K27me3,SVM_Linear,67.2,1.1467,0.7306,0.022,66.82,1.8213,0.7209,0.0157,0.6727,0.0194,0.7116,0.0117
H3K4me3-H3K9ac-H3K27me3,SVM_Linear,66.98,1.2235,0.7332,0.0184,67.24,2.3007,0.7308,0.0298,0.6838,0.0295,0.7244,0.0127
H3K4me3-H3K9ac-H3K9me3,SVM_Linear,67.68,1.9563,0.7314,0.0234,67.68,1.2755,0.7235,0.0226,0.6678,0.0232,0.6922,0.0141
H3K4me3-H3K9ac-H3K9me3-H3K27ac,SVM_Linear,67.3,1.57,0.7283,0.0214,66.54,1.0991,0.715,0.0126,0.6576,0.0205,0.6888,0.0163
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,66.1,1.8615,0.7218,0.022,65.86,1.7358,0.7067,0.0143,0.6547,0.0195,0.6822,0.017
H3K4me3-H3K9ac-H3K9me3-H3K27me3,SVM_Linear,66.38,1.2133,0.7234,0.0205,66.32,2.1856,0.7165,0.0244,0.6668,0.0224,0.6932,0.018
H3K4me3-H3K9me3,SVM_Linear,67.36,2.3607,0.7316,0.0304,67.96,1.7516,0.7353,0.0215,0.6815,0.0282,0.7262,0.0202
H3K4me3-H3K9me3-H3K27ac,SVM_Linear,67.68,2.2107,0.7306,0.0294,67.5,0.8544,0.725,0.0154,0.6729,0.025,0.7036,0.0132
H3K4me3-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,66.32,2.6527,0.7234,0.0291,66.86,1.3631,0.7185,0.0158,0.6698,0.0233,0.7012,0.016
H3K4me3-H3K9me3-H3K27me3,SVM_Linear,66.48,2.0474,0.7239,0.0272,66.92,2.1811,0.729,0.0239,0.6801,0.0265,0.7224,0.0194
H3K9ac,SVM_Linear,68.08,1.6843,0.7321,0.0172,67.48,2.308,0.7299,0.0261,0.6809,0.0198,0.7494,0.0091
H3K9ac-H3K27ac,SVM_Linear,68.36,1.2934,0.7321,0.0176,67.36,1.3088,0.7204,0.0127,0.672,0.013,0.7098,0.0081
H3K9ac-H3K27ac-H3K27me3,SVM_Linear,67.16,1.1908,0.7304,0.0198,67.32,1.6022,0.7253,0.0222,0.6827,0.0219,0.7362,0.0105
H3K9ac-H3K27me3,SVM_Linear,67.64,1.3795,0.7327,0.0167,68.02,2.921,0.7357,0.0354,0.6944,0.032,0.7652,0.0172
H3K9ac-H3K9me3,SVM_Linear,67.7,1.3134,0.7302,0.018,67.26,2.1927,0.7225,0.0241,0.6753,0.0148,0.7386,0.0107
H3K9ac-H3K9me3-H3K27ac,SVM_Linear,67.4,1.3638,0.7311,0.0186,66.84,1.7587,0.7126,0.0117,0.6645,0.013,0.7048,0.0079
H3K9ac-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,66.28,1.1841,0.7227,0.0172,65.78,2.0303,0.7112,0.0174,0.6671,0.0186,0.7014,0.0067
H3K9ac-H3K9me3-H3K27me3,SVM_Linear,66.64,1.0597,0.7232,0.0135,67.28,3.0285,0.721,0.0273,0.6781,0.0218,0.7296,0.0167
H3K9me3,SVM_Linear,56.56,1.5192,0.5859,0.0269,56.72,1.2598,0.5831,0.0158,0.5474,0.0211,0.483,0.0682
H3K9me3-H3K27ac,SVM_Linear,67.14,1.7444,0.7192,0.0225,66.74,2.2689,0.7093,0.0194,0.6626,0.0228,0.7036,0.0279
H3K9me3-H3K27ac-H3K27me3,SVM_Linear,66.12,1.8647,0.711,0.023,66.3,2.1691,0.7075,0.0206,0.6647,0.0252,0.7178,0.0206
H3K9me3-H3K27me3,SVM_Linear,61.24,1.2462,0.658,0.0129,62.76,1.9629,0.6717,0.0253,0.6293,0.0248,0.6404,0.0311
