model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
DirectRanker,1011,H3K4me3,12,75.4,0.84,74.9,0.8437,0.8427,0.7218,0.7745,0.7472,0.922
LogisticRegression,1011,H3K4me3,,75.2,0.8226,76.6,0.8425,0.8284,0.7966,0.6868,0.7377,0.797
RandomForest,1011,H3K4me3,,75.9,0.8281,77.2,0.8531,0.8381,0.7898,0.714,0.75,0.788
SVM_Linear,1011,H3K4me3,,75.1,0.8231,76.8,0.8428,0.8286,0.7976,0.691,0.7405,0.794
DirectRanker,123,H3K4me3,14,77.1,0.86,73.0,0.8044,0.7919,0.7097,0.7857,0.7458,0.922
LogisticRegression,123,H3K4me3,,77.1,0.8495,73.8,0.805,0.7807,0.7665,0.6905,0.7265,0.804
RandomForest,123,H3K4me3,,75.2,0.8499,74.5,0.8124,0.8094,0.7655,0.7123,0.7379,0.81
SVM_Linear,123,H3K4me3,,76.9,0.8503,73.5,0.8061,0.7805,0.7661,0.6825,0.7219,0.798
DirectRanker,42,H3K4me3,27,74.3,0.85,73.4,0.8189,0.8037,0.7135,0.7658,0.7387,0.924
LogisticRegression,42,H3K4me3,,75.9,0.8327,75.3,0.811,0.792,0.7711,0.7067,0.7375,0.818
RandomForest,42,H3K4me3,,77.6,0.8562,74.9,0.833,0.8227,0.7691,0.6986,0.7321,0.818
SVM_Linear,42,H3K4me3,,75.5,0.8333,75.3,0.8125,0.7937,0.7723,0.7047,0.737,0.813
DirectRanker,456,H3K4me3,36,73.3,0.83,74.7,0.8401,0.8359,0.7209,0.7927,0.7551,0.914
LogisticRegression,456,H3K4me3,,73.3,0.8202,75.6,0.836,0.8257,0.778,0.7053,0.7399,0.803
RandomForest,456,H3K4me3,,75.2,0.8349,75.9,0.8451,0.831,0.7885,0.6972,0.74,0.791
SVM_Linear,456,H3K4me3,,73.0,0.8208,75.8,0.8375,0.8283,0.7803,0.7073,0.742,0.804
DirectRanker,789,H3K4me3,38,73.2,0.83,71.5,0.8217,0.8221,0.6825,0.7711,0.7241,0.907
LogisticRegression,789,H3K4me3,,74.9,0.817,73.9,0.8088,0.7994,0.7617,0.6722,0.7141,0.768
RandomForest,789,H3K4me3,,74.7,0.8306,74.5,0.8263,0.8164,0.7614,0.6907,0.7243,0.779
SVM_Linear,789,H3K4me3,,75.1,0.8171,74.3,0.8087,0.8005,0.7651,0.6784,0.7191,0.773
DirectRanker,1011,H3K9ac,50,74.8,0.85,75.0,0.8627,0.86,0.7086,0.8121,0.7568,0.857
LogisticRegression,1011,H3K9ac,,76.6,0.8369,76.1,0.8411,0.8295,0.8061,0.6597,0.7256,0.752
RandomForest,1011,H3K9ac,,78.1,0.861,79.6,0.8837,0.8694,0.8395,0.7098,0.7692,0.764
SVM_Linear,1011,H3K9ac,,76.5,0.8385,76.7,0.8426,0.8312,0.8154,0.6639,0.7319,0.747
DirectRanker,123,H3K9ac,48,77.9,0.87,72.0,0.8112,0.7955,0.6918,0.8016,0.7426,0.867
LogisticRegression,123,H3K9ac,,77.9,0.86,72.6,0.7991,0.781,0.7738,0.6448,0.7035,0.758
RandomForest,123,H3K9ac,,79.2,0.8858,74.7,0.8319,0.8292,0.7795,0.6944,0.7345,0.794
SVM_Linear,123,H3K9ac,,77.6,0.8601,73.4,0.8018,0.7845,0.7833,0.6528,0.7121,0.754
DirectRanker,42,H3K9ac,26,75.4,0.86,74.4,0.8573,0.8428,0.7051,0.8228,0.7594,0.855
LogisticRegression,42,H3K9ac,,77.9,0.8421,77.7,0.845,0.8297,0.8116,0.7108,0.7579,0.77
RandomForest,42,H3K9ac,,77.8,0.8634,78.7,0.8661,0.8489,0.8188,0.7271,0.7702,0.784
SVM_Linear,42,H3K9ac,,77.8,0.8428,77.5,0.8453,0.8302,0.8093,0.7088,0.7557,0.765
DirectRanker,456,H3K9ac,100,75.1,0.86,76.7,0.8673,0.8551,0.7317,0.8313,0.7783,0.859
LogisticRegression,456,H3K9ac,,77.3,0.8452,77.4,0.8497,0.8342,0.8292,0.6809,0.7478,0.773
RandomForest,456,H3K9ac,,76.6,0.8623,77.7,0.8731,0.8595,0.8257,0.6931,0.7536,0.784
SVM_Linear,456,H3K9ac,,77.3,0.8453,77.1,0.8491,0.8335,0.8247,0.6789,0.7447,0.769
DirectRanker,789,H3K9ac,48,76.0,0.87,74.1,0.8479,0.8498,0.6962,0.8268,0.7559,0.85
LogisticRegression,789,H3K9ac,,78.0,0.8497,76.4,0.8357,0.8262,0.8105,0.6701,0.7336,0.763
RandomForest,789,H3K9ac,,78.5,0.8694,77.8,0.861,0.8582,0.8124,0.7052,0.755,0.781
