histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std
H3K27ac,RandomForest,77.06,1.1739,0.8489,0.0144,75.74,1.4673,0.8446,0.0143
H3K27ac,LogisticRegression,75.16,1.1696,0.8109,0.0157,73.18,1.3161,0.7987,0.0141
H3K27ac,SVM_Linear,75.04,1.417,0.8101,0.0158,73.18,1.4464,0.8009,0.0134
H3K27ac,DirectRanker,73.1,2.1378,0.834,0.0152,71.96,1.6965,0.8254,0.014
H3K27ac-H3K27me3,RandomForest,77.14,1.6772,0.8497,0.015,74.38,1.1345,0.8412,0.0121
H3K27ac-H3K27me3,DirectRanker,75.24,1.842,0.842,0.0164,74.2,1.4089,0.8327,0.0165
H3K27ac-H3K27me3,LogisticRegression,72.8,1.4213,0.7982,0.0183,71.88,1.5353,0.7923,0.0096
H3K27ac-H3K27me3,SVM_Linear,72.46,1.5726,0.7971,0.0178,71.88,1.7441,0.7923,0.0084
H3K27me3,RandomForest,67.22,1.2637,0.7284,0.0157,65.86,2.281,0.7159,0.025
H3K27me3,DirectRanker,65.66,1.0877,0.718,0.0205,65.0,2.4393,0.7135,0.0231
H3K27me3,LogisticRegression,62.12,1.4873,0.6575,0.0239,62.8,1.373,0.6627,0.027
H3K27me3,SVM_Linear,61.98,1.6146,0.6578,0.0237,62.74,1.7401,0.6634,0.0274
H3K4me3,RandomForest,75.72,1.1345,0.8399,0.0124,75.4,1.1576,0.834,0.0159
H3K4me3,SVM_Linear,75.12,1.3971,0.8289,0.0134,75.14,1.2857,0.8215,0.0173
H3K4me3,LogisticRegression,75.28,1.3936,0.8284,0.0132,75.04,1.1887,0.8207,0.0173
H3K4me3,DirectRanker,74.66,1.6288,0.842,0.013,73.5,1.3838,0.8258,0.0162
H3K4me3-H3K27ac,RandomForest,78.54,1.6994,0.8635,0.014,77.56,0.7436,0.8612,0.0114
H3K4me3-H3K27ac,SVM_Linear,76.6,1.01,0.8369,0.0117,76.22,0.8438,0.8334,0.0101
H3K4me3-H3K27ac,LogisticRegression,76.46,1.2973,0.836,0.0122,76.04,0.4099,0.832,0.0089
H3K4me3-H3K27ac,DirectRanker,76.52,1.7484,0.858,0.0148,75.14,1.1589,0.8461,0.0149
H3K4me3-H3K27ac-H3K27me3,RandomForest,78.68,1.2194,0.8706,0.0131,77.5,1.4577,0.8654,0.0101
H3K4me3-H3K27ac-H3K27me3,DirectRanker,77.74,1.0015,0.868,0.0084,75.86,0.9762,0.8528,0.0148
H3K4me3-H3K27ac-H3K27me3,SVM_Linear,76.08,1.0872,0.836,0.0116,75.5,1.257,0.8319,0.0121
H3K4me3-H3K27ac-H3K27me3,LogisticRegression,75.82,1.3424,0.8362,0.0119,75.42,1.0616,0.8316,0.0112
H3K4me3-H3K27me3,RandomForest,77.08,0.8871,0.8547,0.0104,76.54,1.3088,0.8502,0.0164
H3K4me3-H3K27me3,DirectRanker,76.96,1.3795,0.854,0.0114,74.56,1.0784,0.8365,0.0161
H3K4me3-H3K27me3,LogisticRegression,75.62,1.2795,0.8322,0.0131,74.1,1.4474,0.8244,0.0203
