model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
DirectRanker,1011,H3K4me3,12,75.4,0.84,74.9,0.8437,0.8427,0.7218,0.7745,0.7472,0.922
DirectRanker,123,H3K4me3,14,77.1,0.86,73.0,0.8044,0.7919,0.7097,0.7857,0.7458,0.922
DirectRanker,42,H3K4me3,27,74.3,0.85,73.4,0.8189,0.8037,0.7135,0.7658,0.7387,0.924
DirectRanker,456,H3K4me3,36,73.3,0.83,74.7,0.8401,0.8359,0.7209,0.7927,0.7551,0.914
DirectRanker,789,H3K4me3,38,73.2,0.83,71.5,0.8217,0.8221,0.6825,0.7711,0.7241,0.907
DirectRanker,1011,H3K9ac,50,74.8,0.85,75.0,0.8627,0.86,0.7086,0.8121,0.7568,0.857
DirectRanker,123,H3K9ac,48,77.9,0.87,72.0,0.8112,0.7955,0.6918,0.8016,0.7426,0.867
DirectRanker,42,H3K9ac,26,75.4,0.86,74.4,0.8573,0.8428,0.7051,0.8228,0.7594,0.855
DirectRanker,456,H3K9ac,100,75.1,0.86,76.7,0.8673,0.8551,0.7317,0.8313,0.7783,0.859
DirectRanker,789,H3K9ac,48,76.0,0.87,74.1,0.8479,0.8498,0.6962,0.8268,0.7559,0.85
DirectRanker,1011,H3K9me3,100,46.8,0.53,52.3,0.5593,0.5228,0.5011,0.9582,0.6581,0.178
DirectRanker,123,H3K9me3,100,51.6,0.52,50.9,0.5252,0.5159,0.5072,0.9127,0.652,0.175
DirectRanker,42,H3K9me3,100,49.0,0.53,52.7,0.5555,0.5336,0.5098,0.9532,0.6643,0.161
DirectRanker,456,H3K9me3,100,51.2,0.57,51.2,0.5372,0.5244,0.5022,0.9289,0.6519,0.16
DirectRanker,789,H3K9me3,100,48.7,0.53,52.4,0.5499,0.5177,0.5049,0.9629,0.6624,0.155
DirectRanker,1011,H3K27ac,100,70.2,0.81,69.3,0.8206,0.8017,0.6433,0.8058,0.7155,0.772
DirectRanker,123,H3K27ac,100,76.2,0.85,71.5,0.8029,0.7774,0.6798,0.8214,0.7439,0.787
DirectRanker,42,H3K27ac,100,72.7,0.84,72.2,0.8343,0.8162,0.6699,0.8554,0.7513,0.774
DirectRanker,456,H3K27ac,100,73.0,0.83,73.5,0.8347,0.8189,0.6895,0.8394,0.7571,0.797
DirectRanker,789,H3K27ac,31,73.4,0.84,73.3,0.8346,0.8136,0.6811,0.8454,0.7544,0.781
DirectRanker,1011,H3K27me3,100,64.9,0.7,68.7,0.7501,0.7234,0.6566,0.7265,0.6898,0.933
DirectRanker,123,H3K27me3,100,66.6,0.72,64.9,0.7077,0.7059,0.6446,0.6766,0.6602,0.943
DirectRanker,42,H3K27me3,100,64.5,0.7,62.1,0.6892,0.6745,0.6011,0.6782,0.6373,0.951
DirectRanker,456,H3K27me3,100,67.0,0.75,65.5,0.7187,0.6944,0.6395,0.685,0.6614,0.944
DirectRanker,789,H3K27me3,100,65.3,0.72,63.8,0.7017,0.6827,0.6185,0.6619,0.6394,0.948
DirectRanker,1011,H3K4me3-H3K9ac,24,77.5,0.86,75.7,0.855,0.8582,0.7305,0.7808,0.7548,0.925
DirectRanker,123,H3K4me3-H3K9ac,35,78.6,0.88,73.5,0.8174,0.8096,0.7145,0.7897,0.7502,0.929
DirectRanker,42,H3K4me3-H3K9ac,24,75.5,0.86,75.7,0.8526,0.844,0.7313,0.7984,0.7634,0.929
DirectRanker,456,H3K4me3-H3K9ac,18,75.3,0.85,77.9,0.8659,0.857,0.7533,0.8191,0.7848,0.919
DirectRanker,789,H3K4me3-H3K9ac,40,76.3,0.86,74.2,0.8477,0.8518,0.7075,0.7979,0.75,0.913
DirectRanker,1011,H3K4me3-H3K9me3,36,75.3,0.84,75.0,0.8465,0.8422,0.7198,0.7829,0.75,0.949
DirectRanker,123,H3K4me3-H3K9me3,31,77.1,0.86,73.1,0.8073,0.7949,0.7132,0.7798,0.745,0.946
DirectRanker,42,H3K4me3-H3K9me3,28,74.8,0.85,73.6,0.8186,0.806,0.7137,0.7719,0.7417,0.94
DirectRanker,456,H3K4me3-H3K9me3,19,74.5,0.84,74.0,0.8382,0.8306,0.7172,0.7785,0.7466,0.931
DirectRanker,789,H3K4me3-H3K9me3,36,73.5,0.83,71.8,0.8192,0.8222,0.6869,0.7691,0.7257,0.924
DirectRanker,1011,H3K4me3-H3K27ac,38,75.4,0.84,75.3,0.8479,0.8504,0.7257,0.7787,0.7513,0.925
DirectRanker,123,H3K4me3-H3K27ac,54,79.6,0.88,74.0,0.8199,0.8114,0.7226,0.7857,0.7529,0.931
DirectRanker,42,H3K4me3-H3K27ac,14,75.5,0.86,76.1,0.8535,0.8499,0.7316,0.8106,0.7691,0.929
DirectRanker,456,H3K4me3-H3K27ac,38,76.0,0.85,76.4,0.8564,0.8454,0.737,0.8089,0.7713,0.92
DirectRanker,789,H3K4me3-H3K27ac,38,76.1,0.86,73.9,0.8526,0.8546,0.7051,0.7938,0.7468,0.911
DirectRanker,1011,H3K4me3-H3K27me3,34,77.4,0.85,75.9,0.8562,0.8542,0.7449,0.7557,0.7503,0.974
DirectRanker,123,H3K4me3-H3K27me3,36,79.1,0.87,74.0,0.8194,0.8168,0.7268,0.7758,0.7505,0.968
DirectRanker,42,H3K4me3-H3K27me3,17,76.6,0.85,74.6,0.826,0.8188,0.7319,0.7617,0.7465,0.98
DirectRanker,456,H3K4me3-H3K27me3,53,75.5,0.86,75.2,0.851,0.85,0.7383,0.7683,0.753,0.971
DirectRanker,789,H3K4me3-H3K27me3,63,76.2,0.84,73.1,0.83,0.8364,0.7085,0.7567,0.7318,0.981
DirectRanker,1011,H3K9ac-H3K9me3,86,75.3,0.86,75.4,0.8682,0.8699,0.7145,0.81,0.7593,0.899
DirectRanker,123,H3K9ac-H3K9me3,100,78.2,0.88,72.4,0.8132,0.8035,0.7021,0.7857,0.7416,0.901
DirectRanker,42,H3K9ac-H3K9me3,33,74.7,0.85,74.7,0.8575,0.8495,0.7095,0.8208,0.7611,0.89
DirectRanker,456,H3K9ac-H3K9me3,100,77.0,0.86,77.6,0.8703,0.8618,0.7436,0.8313,0.785,0.889
