histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std,test_aucprc_mean,test_aucprc_std,antisymmetry_mean,antisymmetry_std
H3K27ac,DirectRanker,73.1,2.1378,0.834,0.0152,71.96,1.6965,0.8254,0.014,0.8056,0.0171,0.7822,0.0102
H3K27ac-H3K27me3,DirectRanker,75.24,1.842,0.842,0.0164,74.2,1.4089,0.8327,0.0165,0.8278,0.0184,0.9692,0.0069
H3K27me3,DirectRanker,65.66,1.0877,0.718,0.0205,65.0,2.4393,0.7135,0.0231,0.6962,0.0193,0.9438,0.0068
H3K4me3,DirectRanker,74.66,1.6288,0.842,0.013,73.5,1.3838,0.8258,0.0162,0.8193,0.0214,0.9178,0.0072
H3K4me3-H3K27ac,DirectRanker,76.52,1.7484,0.858,0.0148,75.14,1.1589,0.8461,0.0149,0.8423,0.0176,0.9232,0.008
H3K4me3-H3K27ac-H3K27me3,DirectRanker,77.74,1.0015,0.868,0.0084,75.86,0.9762,0.8528,0.0148,0.8518,0.0192,0.9774,0.0038
H3K4me3-H3K27me3,DirectRanker,76.96,1.3795,0.854,0.0114,74.56,1.0784,0.8365,0.0161,0.8352,0.0172,0.9748,0.0056
H3K4me3-H3K9ac,DirectRanker,76.64,1.3957,0.862,0.011,75.4,1.6941,0.8477,0.0182,0.8441,0.0201,0.923,0.0069
H3K4me3-H3K9ac-H3K27ac,DirectRanker,76.9,0.8426,0.868,0.0084,75.94,1.5307,0.8534,0.0178,0.8503,0.022,0.9256,0.0081
H3K4me3-H3K9ac-H3K27ac-H3K27me3,DirectRanker,78.46,0.8444,0.868,0.0084,76.38,1.4043,0.8558,0.0176,0.8563,0.0209,0.9782,0.0041
H3K4me3-H3K9ac-H3K27me3,DirectRanker,77.76,1.6502,0.868,0.0084,75.64,1.6426,0.8516,0.0168,0.8517,0.0196,0.9768,0.005
H3K4me3-H3K9ac-H3K9me3,DirectRanker,77.2,0.781,0.864,0.0055,75.62,1.1735,0.8486,0.0178,0.8444,0.0233,0.942,0.0098
H3K4me3-H3K9ac-H3K9me3-H3K27ac,DirectRanker,77.04,0.9864,0.866,0.0089,76.06,1.3831,0.8514,0.0175,0.8473,0.0233,0.9442,0.0103
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,DirectRanker,78.82,1.7852,0.872,0.0084,76.36,1.0877,0.8558,0.0166,0.8543,0.0203,0.9866,0.0015
H3K4me3-H3K9ac-H3K9me3-H3K27me3,DirectRanker,78.28,0.8526,0.87,0.0071,76.46,1.6712,0.8551,0.0175,0.8561,0.0189,0.9854,0.0023
H3K4me3-H3K9me3,DirectRanker,75.04,1.3259,0.844,0.0114,73.5,1.179,0.826,0.016,0.8192,0.0189,0.938,0.0104
H3K4me3-H3K9me3-H3K27ac,DirectRanker,77.06,1.1283,0.86,0.0122,75.6,1.336,0.8468,0.0172,0.8426,0.0199,0.942,0.0104
H3K4me3-H3K9me3-H3K27ac-H3K27me3,DirectRanker,78.62,1.1692,0.87,0.01,76.6,1.3398,0.8544,0.0171,0.8552,0.0188,0.9858,0.0015
H3K4me3-H3K9me3-H3K27me3,DirectRanker,77.0,1.3172,0.856,0.0089,74.62,1.2518,0.8378,0.0165,0.8373,0.0166,0.9838,0.0027
H3K9ac,DirectRanker,75.84,1.2341,0.862,0.0084,74.44,1.695,0.8493,0.0225,0.8406,0.026,0.8576,0.0062
H3K9ac-H3K27ac,DirectRanker,75.8,1.1769,0.862,0.0084,74.98,1.7427,0.8535,0.0198,0.847,0.0226,0.862,0.0068
H3K9ac-H3K27ac-H3K27me3,DirectRanker,77.12,1.0849,0.868,0.0084,75.72,2.1649,0.8531,0.0191,0.8551,0.0188,0.9752,0.0052
H3K9ac-H3K27me3,DirectRanker,77.34,1.2779,0.862,0.0084,75.18,1.7922,0.8474,0.0207,0.8471,0.0213,0.9736,0.0051
H3K9ac-H3K9me3,DirectRanker,76.42,1.4096,0.864,0.0114,75.08,1.8593,0.8515,0.0232,0.847,0.0257,0.8916,0.0088
H3K9ac-H3K9me3-H3K27ac,DirectRanker,76.38,1.2696,0.864,0.0114,75.24,1.4977,0.8546,0.0199,0.8517,0.0208,0.8952,0.0085
H3K9ac-H3K9me3-H3K27ac-H3K27me3,DirectRanker,77.64,1.8447,0.866,0.0114,75.5,2.0211,0.8522,0.0205,0.8537,0.0214,0.9846,0.0022
H3K9ac-H3K9me3-H3K27me3,DirectRanker,77.8,1.4782,0.866,0.0114,75.84,2.0403,0.8523,0.0211,0.8534,0.0216,0.9832,0.0015
H3K9me3,DirectRanker,49.46,1.9667,0.536,0.0195,51.9,0.7969,0.5454,0.0141,0.5229,0.0069,0.1658,0.0101
H3K9me3-H3K27ac,DirectRanker,73.82,2.0993,0.842,0.0148,72.72,0.7855,0.8274,0.0163,0.8102,0.019,0.8294,0.0067
H3K9me3-H3K27ac-H3K27me3,DirectRanker,76.38,1.9892,0.842,0.013,74.34,1.2641,0.8306,0.0139,0.8243,0.0166,0.9798,0.0028
H3K9me3-H3K27me3,DirectRanker,66.0,1.4422,0.726,0.023,65.06,2.2188,0.7139,0.0242,0.6945,0.0207,0.9586,0.0026
