model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
LogisticRegression,1011,H3K4me3,,75.2,0.8226,76.6,0.8425,0.8284,0.7966,0.6868,0.7377,0.797
LogisticRegression,123,H3K4me3,,77.1,0.8495,73.8,0.805,0.7807,0.7665,0.6905,0.7265,0.804
LogisticRegression,42,H3K4me3,,75.9,0.8327,75.3,0.811,0.792,0.7711,0.7067,0.7375,0.818
LogisticRegression,456,H3K4me3,,73.3,0.8202,75.6,0.836,0.8257,0.778,0.7053,0.7399,0.803
LogisticRegression,789,H3K4me3,,74.9,0.817,73.9,0.8088,0.7994,0.7617,0.6722,0.7141,0.768
LogisticRegression,1011,H3K9ac,,76.6,0.8369,76.1,0.8411,0.8295,0.8061,0.6597,0.7256,0.752
LogisticRegression,123,H3K9ac,,77.9,0.86,72.6,0.7991,0.781,0.7738,0.6448,0.7035,0.758
LogisticRegression,42,H3K9ac,,77.9,0.8421,77.7,0.845,0.8297,0.8116,0.7108,0.7579,0.77
LogisticRegression,456,H3K9ac,,77.3,0.8452,77.4,0.8497,0.8342,0.8292,0.6809,0.7478,0.773
LogisticRegression,789,H3K9ac,,78.0,0.8497,76.4,0.8357,0.8262,0.8105,0.6701,0.7336,0.763
LogisticRegression,1011,H3K9me3,,55.3,0.5035,52.3,0.5235,0.4968,0.5111,0.096,0.1617,0.102
LogisticRegression,123,H3K9me3,,50.1,0.5101,49.6,0.4866,0.4924,0.5,0.0694,0.122,0.104
LogisticRegression,42,H3K9me3,,52.6,0.4969,52.5,0.5381,0.5282,0.5909,0.1059,0.1796,0.08
LogisticRegression,456,H3K9me3,,54.2,0.5339,51.0,0.5061,0.5002,0.5135,0.0772,0.1343,0.114
LogisticRegression,789,H3K9me3,,52.5,0.4936,51.6,0.5217,0.4974,0.5067,0.0784,0.1357,0.087
LogisticRegression,1011,H3K27ac,,74.3,0.7866,74.0,0.7884,0.7553,0.7951,0.6159,0.6941,0.682
LogisticRegression,123,H3K27ac,,74.9,0.8184,71.4,0.7876,0.7557,0.793,0.5853,0.6735,0.688
LogisticRegression,42,H3K27ac,,74.5,0.8091,73.8,0.8114,0.7893,0.8103,0.609,0.6953,0.697
LogisticRegression,456,H3K27ac,,74.9,0.811,72.2,0.7894,0.7593,0.773,0.6159,0.6855,0.689
LogisticRegression,789,H3K27ac,,77.2,0.8292,74.5,0.8165,0.7978,0.8075,0.6227,0.7031,0.706
LogisticRegression,1011,H3K27me3,,62.0,0.6491,64.4,0.695,0.6466,0.6401,0.5866,0.6122,0.75
LogisticRegression,123,H3K27me3,,61.8,0.6682,63.2,0.6724,0.6705,0.6567,0.5655,0.6077,0.777
LogisticRegression,42,H3K27me3,,61.6,0.6341,60.7,0.6283,0.6127,0.6025,0.5866,0.5944,0.757
LogisticRegression,456,H3K27me3,,64.6,0.6938,63.3,0.6757,0.6659,0.643,0.5711,0.605,0.764
LogisticRegression,789,H3K27me3,,60.6,0.6423,62.4,0.6421,0.6166,0.6247,0.5629,0.5922,0.772
LogisticRegression,1011,H3K4me3-H3K9ac,,77.1,0.8332,77.1,0.8448,0.8349,0.8019,0.6931,0.7436,0.753
LogisticRegression,123,H3K4me3-H3K9ac,,78.2,0.8612,73.7,0.8035,0.7816,0.7696,0.6825,0.7234,0.786
LogisticRegression,42,H3K4me3-H3K9ac,,77.4,0.835,76.2,0.8388,0.8189,0.783,0.7128,0.7463,0.781
LogisticRegression,456,H3K4me3-H3K9ac,,75.8,0.8338,77.0,0.8503,0.8427,0.8119,0.6931,0.7478,0.77
LogisticRegression,789,H3K4me3-H3K9ac,,76.3,0.8302,75.7,0.8309,0.8199,0.7854,0.6866,0.7327,0.77
LogisticRegression,1011,H3K4me3-H3K9me3,,74.1,0.8033,76.0,0.8258,0.798,0.7747,0.7035,0.7374,0.801
LogisticRegression,123,H3K4me3-H3K9me3,,76.6,0.8345,71.2,0.7722,0.7361,0.7358,0.6687,0.7006,0.785
LogisticRegression,42,H3K4me3-H3K9me3,,73.4,0.8009,74.4,0.8079,0.7899,0.756,0.7067,0.7305,0.799
LogisticRegression,456,H3K4me3-H3K9me3,,73.2,0.8154,74.7,0.8179,0.8087,0.765,0.7012,0.7317,0.802
LogisticRegression,789,H3K4me3-H3K9me3,,74.3,0.8119,71.7,0.7877,0.7492,0.7306,0.6598,0.6934,0.764
LogisticRegression,1011,H3K4me3-H3K27ac,,74.9,0.822,75.7,0.8305,0.8159,0.7837,0.6806,0.7285,0.782
LogisticRegression,123,H3K4me3-H3K27ac,,77.9,0.8543,76.1,0.8175,0.7962,0.7887,0.7183,0.7518,0.797
LogisticRegression,42,H3K4me3-H3K27ac,,76.6,0.8407,76.7,0.8387,0.8277,0.7905,0.7149,0.7508,0.808
LogisticRegression,456,H3K4me3-H3K27ac,,75.4,0.8303,75.7,0.8393,0.8254,0.7862,0.6951,0.7379,0.807
LogisticRegression,789,H3K4me3-H3K27ac,,77.5,0.8329,76.0,0.8342,0.824,0.7829,0.699,0.7386,0.768
LogisticRegression,1011,H3K4me3-H3K27me3,,75.0,0.8238,76.1,0.8486,0.8362,0.7778,0.7015,0.7377,0.793
LogisticRegression,123,H3K4me3-H3K27me3,,77.7,0.8521,73.4,0.8073,0.7896,0.7587,0.6925,0.7241,0.814
LogisticRegression,42,H3K4me3-H3K27me3,,75.1,0.8305,73.3,0.8137,0.8008,0.7403,0.7026,0.721,0.823
LogisticRegression,456,H3K4me3-H3K27me3,,75.9,0.8366,75.1,0.8442,0.8446,0.7624,0.7175,0.7393,0.802
LogisticRegression,789,H3K4me3-H3K27me3,,74.4,0.8181,72.6,0.8084,0.7989,0.7279,0.6948,0.711,0.809
