histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std,test_aucprc_mean,test_aucprc_std,antisymmetry_mean,antisymmetry_std
H3K27ac,LogisticRegression,75.16,1.1696,0.8109,0.0157,73.18,1.3161,0.7987,0.0141,0.7715,0.0204,0.6924,0.0093
H3K27ac-H3K27me3,LogisticRegression,72.8,1.4213,0.7982,0.0183,71.88,1.5353,0.7923,0.0096,0.7771,0.0169,0.7814,0.0313
H3K27me3,LogisticRegression,62.12,1.4873,0.6575,0.0239,62.8,1.373,0.6627,0.027,0.6425,0.027,0.764,0.0109
H3K4me3,LogisticRegression,75.28,1.3936,0.8284,0.0132,75.04,1.1887,0.8207,0.0173,0.8052,0.021,0.798,0.0185
H3K4me3-H3K27ac,LogisticRegression,76.46,1.2973,0.836,0.0122,76.04,0.4099,0.832,0.0089,0.8178,0.0129,0.7924,0.0172
H3K4me3-H3K27ac-H3K27me3,LogisticRegression,75.82,1.3424,0.8362,0.0119,75.42,1.0616,0.8316,0.0112,0.8208,0.0169,0.7978,0.011
H3K4me3-H3K27me3,LogisticRegression,75.62,1.2795,0.8322,0.0131,74.1,1.4474,0.8244,0.0203,0.814,0.0246,0.8082,0.0114
H3K4me3-H3K9ac,LogisticRegression,76.96,0.9397,0.8387,0.0127,75.94,1.3795,0.8337,0.0183,0.8196,0.0235,0.772,0.0127
H3K4me3-H3K9ac-H3K27ac,LogisticRegression,76.22,1.4307,0.832,0.0151,75.76,0.9711,0.8284,0.0157,0.8102,0.0205,0.758,0.0119
H3K4me3-H3K9ac-H3K27ac-H3K27me3,LogisticRegression,76.0,1.6808,0.8323,0.0165,74.78,1.6634,0.8278,0.0175,0.8136,0.0216,0.7754,0.0143
H3K4me3-H3K9ac-H3K27me3,LogisticRegression,76.54,1.4571,0.8387,0.0132,75.1,1.8908,0.8331,0.0193,0.8243,0.0237,0.7956,0.0183
H3K4me3-H3K9ac-H3K9me3,LogisticRegression,75.94,0.9685,0.8255,0.0158,74.72,1.8939,0.8188,0.0253,0.7962,0.0321,0.764,0.0082
H3K4me3-H3K9ac-H3K9me3-H3K27ac,LogisticRegression,75.38,0.8843,0.8194,0.0157,74.48,1.8199,0.814,0.0229,0.7895,0.0285,0.7552,0.0113
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,75.1,1.8507,0.8214,0.0173,74.32,2.4046,0.8158,0.0227,0.7943,0.0284,0.7686,0.0163
H3K4me3-H3K9ac-H3K9me3-H3K27me3,LogisticRegression,75.54,1.4381,0.827,0.0161,74.76,2.1916,0.8191,0.0255,0.8002,0.0317,0.7836,0.0057
H3K4me3-H3K9me3,LogisticRegression,74.32,1.3554,0.8132,0.0133,73.6,2.0603,0.8023,0.0221,0.7764,0.0318,0.7902,0.0162
H3K4me3-H3K9me3-H3K27ac,LogisticRegression,75.54,1.2542,0.8232,0.0156,74.78,1.0895,0.8166,0.0168,0.793,0.0243,0.7818,0.0089
H3K4me3-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,75.02,1.455,0.8239,0.0155,74.16,1.7587,0.8183,0.0187,0.7983,0.028,0.7808,0.0113
H3K4me3-H3K9me3-H3K27me3,LogisticRegression,74.42,1.3461,0.8191,0.0147,73.54,1.9347,0.8089,0.0251,0.7872,0.0359,0.7972,0.0056
H3K9ac,LogisticRegression,77.54,0.5941,0.8468,0.0087,76.04,2.0354,0.8341,0.0202,0.8201,0.0221,0.7632,0.0086
H3K9ac-H3K27ac,LogisticRegression,76.72,0.3701,0.8359,0.0101,75.56,1.5662,0.8292,0.0152,0.8122,0.0179,0.7456,0.0074
H3K9ac-H3K27ac-H3K27me3,LogisticRegression,75.62,1.3882,0.8307,0.0113,74.5,0.9434,0.826,0.0145,0.8152,0.0171,0.7986,0.0211
H3K9ac-H3K27me3,LogisticRegression,76.48,0.6611,0.841,0.0093,74.96,1.8078,0.8303,0.0197,0.8239,0.0202,0.8096,0.0194
H3K9ac-H3K9me3,LogisticRegression,76.34,0.7829,0.832,0.0135,74.9,2.6382,0.8184,0.0268,0.7966,0.0326,0.7614,0.0096
H3K9ac-H3K9me3-H3K27ac,LogisticRegression,75.82,0.705,0.8242,0.0109,74.58,1.9842,0.8152,0.0221,0.7913,0.0273,0.7444,0.0101
H3K9ac-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,74.82,1.4601,0.8202,0.014,74.28,1.9162,0.8139,0.0215,0.7941,0.0258,0.7844,0.0168
H3K9ac-H3K9me3-H3K27me3,LogisticRegression,75.22,0.7791,0.8287,0.0149,74.48,2.4974,0.8166,0.0267,0.7994,0.0325,0.8018,0.0137
H3K9me3,LogisticRegression,52.94,1.9705,0.5076,0.016,51.4,1.1683,0.5152,0.0196,0.503,0.0144,0.0974,0.0137
H3K9me3-H3K27ac,LogisticRegression,73.86,1.6103,0.7925,0.0241,72.04,2.1031,0.7828,0.0212,0.7494,0.0273,0.6972,0.0093
H3K9me3-H3K27ac-H3K27me3,LogisticRegression,72.02,1.7782,0.786,0.0242,70.98,1.359,0.7805,0.018,0.7549,0.0249,0.771,0.0226
H3K9me3-H3K27me3,LogisticRegression,61.52,2.4356,0.6486,0.0288,62.06,1.5534,0.6559,0.0207,0.6227,0.0199,0.7488,0.0104
