model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
RandomForest,1011,H3K4me3,,75.9,0.8281,77.2,0.8531,0.8381,0.7898,0.714,0.75,0.788
RandomForest,123,H3K4me3,,75.2,0.8499,74.5,0.8124,0.8094,0.7655,0.7123,0.7379,0.81
RandomForest,42,H3K4me3,,77.6,0.8562,74.9,0.833,0.8227,0.7691,0.6986,0.7321,0.818
RandomForest,456,H3K4me3,,75.2,0.8349,75.9,0.8451,0.831,0.7885,0.6972,0.74,0.791
RandomForest,789,H3K4me3,,74.7,0.8306,74.5,0.8263,0.8164,0.7614,0.6907,0.7243,0.779
RandomForest,1011,H3K9ac,,78.1,0.861,79.6,0.8837,0.8694,0.8395,0.7098,0.7692,0.764
RandomForest,123,H3K9ac,,79.2,0.8858,74.7,0.8319,0.8292,0.7795,0.6944,0.7345,0.794
RandomForest,42,H3K9ac,,77.8,0.8634,78.7,0.8661,0.8489,0.8188,0.7271,0.7702,0.784
RandomForest,456,H3K9ac,,76.6,0.8623,77.7,0.8731,0.8595,0.8257,0.6931,0.7536,0.784
RandomForest,789,H3K9ac,,78.5,0.8694,77.8,0.861,0.8582,0.8124,0.7052,0.755,0.781
RandomForest,1011,H3K9me3,,55.7,0.5136,52.1,0.5224,0.4991,0.5,0.0939,0.1582,0.119
RandomForest,123,H3K9me3,,51.7,0.5417,50.6,0.505,0.5046,0.5568,0.0972,0.1655,0.126
RandomForest,42,H3K9me3,,53.5,0.5132,51.5,0.525,0.5193,0.5417,0.0794,0.1385,0.114
RandomForest,456,H3K9me3,,55.3,0.5515,52.7,0.5376,0.5136,0.6338,0.0915,0.1599,0.113
RandomForest,789,H3K9me3,,54.3,0.529,52.6,0.5409,0.5148,0.5965,0.0701,0.1255,0.108
RandomForest,1011,H3K27ac,,75.3,0.8266,76.0,0.8469,0.83,0.8056,0.6576,0.7241,0.706
RandomForest,123,H3K27ac,,78.0,0.866,73.3,0.8195,0.8188,0.8,0.627,0.703,0.737
RandomForest,42,H3K27ac,,77.8,0.8471,76.6,0.8492,0.8313,0.827,0.6619,0.7353,0.713
RandomForest,456,H3K27ac,,76.4,0.8499,75.7,0.8542,0.8408,0.8201,0.6484,0.7242,0.743
RandomForest,789,H3K27ac,,77.8,0.8551,77.1,0.8531,0.8387,0.8316,0.6619,0.7371,0.721
RandomForest,1011,H3K27me3,,66.5,0.7157,69.2,0.7543,0.728,0.6948,0.6367,0.6645,0.783
RandomForest,123,H3K27me3,,66.1,0.7172,63.6,0.6904,0.6869,0.6584,0.5774,0.6152,0.813
RandomForest,42,H3K27me3,,68.1,0.7271,64.3,0.7137,0.6866,0.6419,0.6171,0.6293,0.797
RandomForest,456,H3K27me3,,69.0,0.7548,67.1,0.723,0.7094,0.6815,0.622,0.6504,0.782
RandomForest,789,H3K27me3,,66.4,0.7272,65.1,0.6982,0.6781,0.6604,0.5773,0.6161,0.802
RandomForest,1011,H3K4me3-H3K9ac,,77.9,0.8547,78.4,0.8784,0.8666,0.8124,0.714,0.76,0.798
RandomForest,123,H3K4me3-H3K9ac,,79.1,0.8856,76.5,0.8345,0.8323,0.7868,0.7321,0.7585,0.838
