histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std,test_aucprc_mean,test_aucprc_std,antisymmetry_mean,antisymmetry_std
H3K27ac,RandomForest,77.06,1.1739,0.8489,0.0144,75.74,1.4673,0.8446,0.0143,0.8319,0.0087,0.724,0.0157
H3K27ac-H3K27me3,RandomForest,77.14,1.6772,0.8497,0.015,74.38,1.1345,0.8412,0.0121,0.8379,0.0079,0.7886,0.0234
H3K27me3,RandomForest,67.22,1.2637,0.7284,0.0157,65.86,2.281,0.7159,0.025,0.6978,0.0205,0.7954,0.0131
H3K4me3,RandomForest,75.72,1.1345,0.8399,0.0124,75.4,1.1576,0.834,0.0159,0.8235,0.0114,0.7972,0.0162
H3K4me3-H3K27ac,RandomForest,78.54,1.6994,0.8635,0.014,77.56,0.7436,0.8612,0.0114,0.8519,0.0081,0.8252,0.0123
H3K4me3-H3K27ac-H3K27me3,RandomForest,78.68,1.2194,0.8706,0.0131,77.5,1.4577,0.8654,0.0101,0.8614,0.0078,0.84,0.0235
H3K4me3-H3K27me3,RandomForest,77.08,0.8871,0.8547,0.0104,76.54,1.3088,0.8502,0.0164,0.8436,0.0137,0.8146,0.0166
H3K4me3-H3K9ac,RandomForest,78.46,0.6656,0.8679,0.012,77.68,1.0232,0.8636,0.0174,0.8551,0.0134,0.8174,0.0154
H3K4me3-H3K9ac-H3K27ac,RandomForest,78.44,0.9397,0.8701,0.0127,77.8,1.0,0.8666,0.0154,0.8583,0.0131,0.8258,0.0175
H3K4me3-H3K9ac-H3K27ac-H3K27me3,RandomForest,78.84,0.8877,0.8727,0.0109,77.84,1.1524,0.8673,0.0132,0.8613,0.0075,0.842,0.0209
H3K4me3-H3K9ac-H3K27me3,RandomForest,78.32,0.6458,0.8715,0.0104,77.36,1.0714,0.8652,0.0163,0.8601,0.0128,0.8372,0.0163
H3K4me3-H3K9ac-H3K9me3,RandomForest,78.04,1.1546,0.8682,0.0117,77.36,0.9839,0.8635,0.0161,0.8559,0.0108,0.8246,0.0116
H3K4me3-H3K9ac-H3K9me3-H3K27ac,RandomForest,78.72,0.9783,0.8707,0.013,77.84,1.0714,0.8655,0.0135,0.8588,0.0111,0.8336,0.0135
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,RandomForest,79.18,1.033,0.8748,0.0103,77.64,1.2602,0.8673,0.0146,0.8627,0.0084,0.853,0.0159
H3K4me3-H3K9ac-H3K9me3-H3K27me3,RandomForest,78.66,0.6148,0.8733,0.0094,77.26,1.2896,0.8649,0.0171,0.8603,0.0115,0.8464,0.0155
H3K4me3-H3K9me3,RandomForest,75.68,1.1077,0.8398,0.0113,75.28,1.1777,0.8349,0.0159,0.8245,0.0126,0.8054,0.0157
H3K4me3-H3K9me3-H3K27ac,RandomForest,78.1,1.6355,0.8638,0.0154,77.44,0.9915,0.8595,0.0119,0.8515,0.0079,0.8326,0.0156
H3K4me3-H3K9me3-H3K27ac-H3K27me3,RandomForest,79.02,1.3572,0.8715,0.013,77.6,1.3379,0.865,0.0114,0.8596,0.0089,0.8502,0.0162
H3K4me3-H3K9me3-H3K27me3,RandomForest,77.4,1.0368,0.8575,0.0099,75.94,1.0139,0.8497,0.0171,0.8421,0.0159,0.824,0.0201
H3K9ac,RandomForest,78.04,0.9607,0.8684,0.0103,77.7,1.8453,0.8632,0.0194,0.853,0.0152,0.7814,0.0109
H3K9ac-H3K27ac,RandomForest,78.62,0.563,0.8689,0.0117,78.06,1.3831,0.8666,0.0178,0.8558,0.015,0.7984,0.0131
H3K9ac-H3K27ac-H3K27me3,RandomForest,78.44,1.3069,0.8702,0.0133,77.62,1.0686,0.8671,0.0148,0.8647,0.0092,0.8236,0.0169
H3K9ac-H3K27me3,RandomForest,77.88,0.7918,0.8694,0.0119,77.32,1.1777,0.8647,0.0171,0.8619,0.0124,0.8144,0.0154
H3K9ac-H3K9me3,RandomForest,78.16,0.7765,0.8687,0.0094,77.28,1.886,0.8629,0.0192,0.8534,0.0156,0.8014,0.0112
H3K9ac-H3K9me3-H3K27ac,RandomForest,78.58,0.6099,0.8712,0.0117,77.9,1.2787,0.8662,0.016,0.8584,0.0124,0.813,0.0107
H3K9ac-H3K9me3-H3K27ac-H3K27me3,RandomForest,78.72,1.2071,0.8725,0.0119,77.78,1.4114,0.8671,0.0145,0.8637,0.0087,0.8312,0.0173
H3K9ac-H3K9me3-H3K27me3,RandomForest,78.32,0.9783,0.8712,0.0124,77.26,1.8528,0.8639,0.0177,0.8594,0.0139,0.8244,0.0205
H3K9me3,RandomForest,54.1,1.5937,0.5298,0.017,51.9,0.8689,0.5262,0.0142,0.5103,0.0082,0.116,0.0068
H3K9me3-H3K27ac,RandomForest,77.58,1.5563,0.852,0.0135,75.54,1.9398,0.8459,0.0147,0.8333,0.0081,0.7576,0.0063
H3K9me3-H3K27ac-H3K27me3,RandomForest,77.46,1.7053,0.8547,0.0166,74.52,1.37,0.8436,0.014,0.8404,0.0062,0.8094,0.0161
H3K9me3-H3K27me3,RandomForest,67.38,1.3664,0.734,0.0211,65.38,2.3339,0.7163,0.026,0.6947,0.0166,0.8124,0.0125
