model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
SVM_Linear,1011,H3K4me3,,75.1,0.8231,76.8,0.8428,0.8286,0.7976,0.691,0.7405,0.794
SVM_Linear,123,H3K4me3,,76.9,0.8503,73.5,0.8061,0.7805,0.7661,0.6825,0.7219,0.798
SVM_Linear,42,H3K4me3,,75.5,0.8333,75.3,0.8125,0.7937,0.7723,0.7047,0.737,0.813
SVM_Linear,456,H3K4me3,,73.0,0.8208,75.8,0.8375,0.8283,0.7803,0.7073,0.742,0.804
SVM_Linear,789,H3K4me3,,75.1,0.8171,74.3,0.8087,0.8005,0.7651,0.6784,0.7191,0.773
SVM_Linear,1011,H3K9ac,,76.5,0.8385,76.7,0.8426,0.8312,0.8154,0.6639,0.7319,0.747
SVM_Linear,123,H3K9ac,,77.6,0.8601,73.4,0.8018,0.7845,0.7833,0.6528,0.7121,0.754
SVM_Linear,42,H3K9ac,,77.8,0.8428,77.5,0.8453,0.8302,0.8093,0.7088,0.7557,0.765
SVM_Linear,456,H3K9ac,,77.3,0.8453,77.1,0.8491,0.8335,0.8247,0.6789,0.7447,0.769
SVM_Linear,789,H3K9ac,,77.7,0.8475,76.1,0.8366,0.8277,0.806,0.668,0.7306,0.762
SVM_Linear,1011,H3K9me3,,55.6,0.5092,52.3,0.5363,0.5007,0.5156,0.0689,0.1215,0.107
SVM_Linear,123,H3K9me3,,49.9,0.5155,49.2,0.483,0.4909,0.4583,0.0437,0.0797,0.077
SVM_Linear,42,H3K9me3,,52.4,0.4902,52.6,0.5392,0.5239,0.6133,0.0937,0.1625,0.073
SVM_Linear,456,H3K9me3,,54.5,0.5202,51.0,0.5063,0.5001,0.5172,0.061,0.1091,0.093
SVM_Linear,789,H3K9me3,,53.3,0.5074,51.2,0.5074,0.4924,0.4762,0.0619,0.1095,0.081
SVM_Linear,1011,H3K27ac,,74.3,0.7858,74.4,0.7927,0.7597,0.8005,0.62,0.6988,0.678
SVM_Linear,123,H3K27ac,,75.0,0.8186,71.0,0.7888,0.7563,0.7923,0.5754,0.6667,0.679
SVM_Linear,42,H3K27ac,,74.1,0.8069,73.6,0.8111,0.7878,0.8059,0.609,0.6937,0.697
SVM_Linear,456,H3K27ac,,74.3,0.8109,72.5,0.7928,0.7614,0.7878,0.6037,0.6835,0.692
SVM_Linear,789,H3K27ac,,77.5,0.8281,74.4,0.8192,0.7972,0.8053,0.6227,0.7023,0.701
SVM_Linear,1011,H3K27me3,,62.0,0.6494,65.0,0.6966,0.6496,0.6547,0.5699,0.6094,0.731
SVM_Linear,123,H3K27me3,,61.5,0.6678,63.0,0.6722,0.6692,0.6618,0.5437,0.5969,0.76
SVM_Linear,42,H3K27me3,,61.2,0.6371,60.4,0.63,0.6131,0.603,0.5662,0.584,0.759
SVM_Linear,456,H3K27me3,,64.7,0.6943,63.5,0.6774,0.6653,0.6494,0.561,0.602,0.734
SVM_Linear,789,H3K27me3,,60.5,0.6402,61.8,0.6407,0.6165,0.6229,0.5381,0.5774,0.761
SVM_Linear,1011,H3K4me3-H3K9ac,,77.1,0.8323,77.3,0.8477,0.8367,0.8088,0.6889,0.7441,0.76
SVM_Linear,123,H3K4me3-H3K9ac,,78.2,0.8591,74.2,0.8044,0.78,0.7746,0.6885,0.729,0.775
SVM_Linear,42,H3K4me3-H3K9ac,,77.3,0.8354,76.0,0.8406,0.8185,0.7846,0.7047,0.7425,0.774
SVM_Linear,456,H3K4me3-H3K9ac,,75.8,0.8325,76.3,0.8501,0.8432,0.8014,0.689,0.741,0.767
SVM_Linear,789,H3K4me3-H3K9ac,,76.3,0.8291,75.3,0.8339,0.8241,0.778,0.6866,0.7295,0.765
SVM_Linear,1011,H3K4me3-H3K9me3,,73.5,0.7974,74.7,0.8171,0.7877,0.758,0.6931,0.7241,0.791
SVM_Linear,123,H3K4me3-H3K9me3,,75.4,0.8331,69.6,0.7613,0.7192,0.7252,0.6389,0.6793,0.761
SVM_Linear,42,H3K4me3-H3K9me3,,72.9,0.7927,72.6,0.7994,0.7794,0.7406,0.6802,0.7091,0.783
SVM_Linear,456,H3K4me3-H3K9me3,,73.1,0.8088,74.9,0.8172,0.8117,0.7732,0.6931,0.731,0.796
SVM_Linear,789,H3K4me3-H3K9me3,,74.2,0.8071,71.4,0.7843,0.7465,0.7267,0.6577,0.6905,0.751
SVM_Linear,1011,H3K4me3-H3K27ac,,75.1,0.8254,75.7,0.8328,0.8198,0.785,0.6785,0.7279,0.772
SVM_Linear,123,H3K4me3-H3K27ac,,77.6,0.8547,75.4,0.8168,0.7974,0.7879,0.7004,0.7416,0.79
SVM_Linear,42,H3K4me3-H3K27ac,,76.9,0.8423,77.4,0.8418,0.8304,0.8005,0.7189,0.7575,0.793
SVM_Linear,456,H3K4me3-H3K27ac,,76.1,0.8303,75.8,0.8412,0.828,0.7894,0.6931,0.7381,0.793
SVM_Linear,789,H3K4me3-H3K27ac,,77.3,0.8316,76.8,0.8346,0.8239,0.7949,0.7031,0.7462,0.758
SVM_Linear,1011,H3K4me3-H3K27me3,,75.2,0.8234,75.9,0.8471,0.8367,0.778,0.6952,0.7343,0.788
