histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std,test_aucprc_mean,test_aucprc_std,antisymmetry_mean,antisymmetry_std
H3K27ac,SVM_Linear,75.04,1.417,0.8101,0.0158,73.18,1.4464,0.8009,0.0134,0.7725,0.0187,0.6894,0.0105
H3K27ac-H3K27me3,SVM_Linear,72.46,1.5726,0.7971,0.0178,71.88,1.7441,0.7923,0.0084,0.7774,0.0135,0.7772,0.0256
H3K27me3,SVM_Linear,61.98,1.6146,0.6578,0.0237,62.74,1.7401,0.6634,0.0274,0.6427,0.0266,0.749,0.0151
H3K4me3,SVM_Linear,75.12,1.3971,0.8289,0.0134,75.14,1.2857,0.8215,0.0173,0.8063,0.0214,0.7964,0.0149
H3K4me3-H3K27ac,SVM_Linear,76.6,1.01,0.8369,0.0117,76.22,0.8438,0.8334,0.0101,0.8199,0.0132,0.7812,0.0156
H3K4me3-H3K27ac-H3K27me3,SVM_Linear,76.08,1.0872,0.836,0.0116,75.5,1.257,0.8319,0.0121,0.8217,0.0191,0.7878,0.0175
H3K4me3-H3K27me3,SVM_Linear,75.52,1.1946,0.8324,0.0133,74.04,1.3428,0.8241,0.0206,0.8142,0.0257,0.8082,0.014
H3K4me3-H3K9ac,SVM_Linear,76.94,0.929,0.8377,0.0122,75.82,1.1563,0.8353,0.0184,0.8205,0.0247,0.7682,0.0063
H3K4me3-H3K9ac-H3K27ac,SVM_Linear,76.54,1.5726,0.832,0.0149,75.62,1.1032,0.8291,0.0165,0.8114,0.0204,0.7526,0.0098
H3K4me3-H3K9ac-H3K27ac-H3K27me3,SVM_Linear,75.42,1.9176,0.8309,0.0163,75.08,1.7598,0.8274,0.0186,0.8128,0.022,0.767,0.0143
H3K4me3-H3K9ac-H3K27me3,SVM_Linear,76.42,1.5172,0.8376,0.013,75.24,1.936,0.8325,0.0198,0.8237,0.0249,0.7858,0.018
H3K4me3-H3K9ac-H3K9me3,SVM_Linear,75.54,1.1415,0.8194,0.0167,74.02,2.7253,0.8122,0.0301,0.7882,0.0414,0.754,0.0114
H3K4me3-H3K9ac-H3K9me3-H3K27ac,SVM_Linear,74.7,1.253,0.8131,0.0161,74.04,2.1513,0.8066,0.0273,0.7795,0.0336,0.734,0.0157
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,74.34,1.5994,0.8127,0.0171,74.0,2.4819,0.8064,0.0272,0.7825,0.0333,0.758,0.0197
H3K4me3-H3K9ac-H3K9me3-H3K27me3,SVM_Linear,74.96,1.2482,0.8196,0.0176,74.06,2.9048,0.811,0.0303,0.7923,0.0408,0.7718,0.0079
H3K4me3-H3K9me3,SVM_Linear,73.82,1.0134,0.8078,0.0156,72.64,2.2434,0.7959,0.0237,0.7689,0.0363,0.7764,0.0195
H3K4me3-H3K9me3-H3K27ac,SVM_Linear,75.08,0.8701,0.8168,0.0148,74.26,1.1283,0.8104,0.0199,0.7839,0.0276,0.7658,0.0141
H3K4me3-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,74.38,1.078,0.8167,0.0155,74.24,1.968,0.8112,0.0209,0.7884,0.0301,0.767,0.0101
H3K4me3-H3K9me3-H3K27me3,SVM_Linear,74.44,1.4223,0.8135,0.0168,72.54,2.3829,0.801,0.0264,0.7797,0.0393,0.7888,0.0108
H3K9ac,SVM_Linear,77.38,0.5263,0.8468,0.0081,76.16,1.6273,0.8351,0.0192,0.8214,0.0207,0.7594,0.0088
H3K9ac-H3K27ac,SVM_Linear,76.76,0.5177,0.8382,0.0094,75.58,1.1563,0.8306,0.0152,0.8133,0.0182,0.735,0.011
H3K9ac-H3K27ac-H3K27me3,SVM_Linear,75.64,1.0968,0.8303,0.0111,74.92,1.1432,0.8264,0.0146,0.8156,0.0166,0.7878,0.0214
H3K9ac-H3K27me3,SVM_Linear,76.36,0.8295,0.8399,0.0085,75.06,1.7257,0.83,0.0193,0.8241,0.0191,0.8066,0.0226
H3K9ac-H3K9me3,SVM_Linear,75.82,1.1925,0.8282,0.0155,74.18,2.3816,0.8136,0.0294,0.7902,0.0378,0.7498,0.015
H3K9ac-H3K9me3-H3K27ac,SVM_Linear,75.54,0.7057,0.8184,0.0123,74.12,2.0327,0.8109,0.0242,0.7832,0.0307,0.7338,0.0148
H3K9ac-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,74.18,1.2988,0.8124,0.0142,73.98,1.6903,0.8068,0.0242,0.7827,0.0297,0.7734,0.0174
H3K9ac-H3K9me3-H3K27me3,SVM_Linear,75.38,1.2578,0.8226,0.0159,73.98,2.631,0.8101,0.0293,0.7901,0.037,0.792,0.0152
H3K9me3,SVM_Linear,53.14,2.1778,0.5085,0.0114,51.26,1.3409,0.5144,0.0234,0.5016,0.0132,0.0862,0.0138
H3K9me3-H3K27ac,SVM_Linear,73.26,1.8147,0.7867,0.0241,71.48,1.6574,0.7786,0.0204,0.7404,0.026,0.6818,0.0104
H3K9me3-H3K27ac-H3K27me3,SVM_Linear,71.62,1.3755,0.7786,0.0243,70.68,1.7922,0.7751,0.0179,0.7443,0.0231,0.754,0.0189
H3K9me3-H3K27me3,SVM_Linear,61.1,2.2594,0.6459,0.0274,62.36,1.1082,0.6521,0.0201,0.6161,0.019,0.7018,0.0084
