chromosome_name,start,end,gene_id,E066,strand,label,external_gene_name,start_position,end_position,tss,chrom,chromStart,chromEnd,name,score,strand_peak,signalValue,pValue,qValue,peak,startBucket,endBucket
chrX,99889988,99899988,ENSG00000000003,73.205,-1,1,TSPAN6,99883667,99894988,99894988,chrX,99890246,99891002,Rank_68310,106,.,5.92171,10.69175,8.59968,462,2.58,10.14
chr20,49570092,49580092,ENSG00000000419,52.609,-1,1,DPM1,49551404,49575092,49575092,chr20,49575664,49577113,Rank_14,734,.,20.49891,73.43851,67.02312,620,55.72,70.21
chr20,49570092,49580092,ENSG00000000419,52.609,-1,1,DPM1,49551404,49575092,49575092,chr20,49572952,49574573,Rank_188,564,.,18.24062,56.41204,51.06926,350,28.6,44.81
chr20,49570092,49580092,ENSG00000000419,52.609,-1,1,DPM1,49551404,49575092,49575092,chr20,49571998,49572915,Rank_71909,102,.,5.67759,10.27033,8.2097,169,19.06,28.23
chr20,49570092,49580092,ENSG00000000419,52.609,-1,1,DPM1,49551404,49575092,49575092,chr20,49577186,49577379,Rank_159548,51,.,3.58302,5.16452,3.52579,35,70.94,72.87
chr20,49570092,49580092,ENSG00000000419,52.609,-1,1,DPM1,49551404,49575092,49575092,chr20,49571244,49571632,Rank_161879,51,.,3.68107,5.10401,3.47041,307,11.52,15.4
chr20,49570092,49580092,ENSG00000000419,52.609,-1,1,DPM1,49551404,49575092,49575092,chr20,49577629,49577806,Rank_163065,50,.,3.52959,5.07326,3.44426,40,75.37,77.14
chr1,169858408,169868408,ENSG00000000457,4.733,-1,1,SCYL3,169818772,169863408,169863408,chr1,169859593,169862186,Rank_14817,234,.,8.2126,23.41891,20.39701,907,11.85,37.78
chr1,169858408,169868408,ENSG00000000457,4.733,-1,1,SCYL3,169818772,169863408,169863408,chr1,169859098,169859534,Rank_87234,87,.,4.21981,8.76005,6.81517,143,6.9,11.26
chr1,169858408,169868408,ENSG00000000457,4.733,-1,1,SCYL3,169818772,169863408,169863408,chr1,169863772,169864002,Rank_204875,37,.,2.44085,3.78662,2.27872,149,53.64,55.94
chr1,27956788,27966788,ENSG00000000938,4.572,-1,1,FGR,27938575,27961788,27961788,chr1,27960609,27961228,Rank_168532,48,.,3.26437,4.81811,3.20363,289,38.21,44.4
chr1,27956788,27966788,ENSG00000000938,4.572,-1,1,FGR,27938575,27961788,27961788,chr1,27960364,27960567,Rank_228477,27,.,2.17732,2.71667,1.32842,3,35.76,37.79
chr1,196616008,196626008,ENSG00000000971,566.609,1,1,CFH,196621008,196716634,196621008,chr1,196620075,196620425,Rank_97263,80,.,4.27448,8.00171,6.11925,95,40.67,44.17
chr1,196616008,196626008,ENSG00000000971,566.609,1,1,CFH,196621008,196716634,196621008,chr1,196625553,196625791,Rank_177857,45,.,3.48336,4.57244,2.9857,135,95.45,97.83
