Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene name,Gene stable ID,Gene type,tss,tss -2kb,tss +2kb,test_id,orig_gene_name,locus,orig_start,orig_end
1,69091,70008,1,OR4F5,ENSG00000186092,protein_coding,69091,67091,71091,XLOC_000001,OR4F5,chr1:69090-70008,69090,70008
1,367640,368634,1,OR4F29,ENSG00000235249,protein_coding,367640,365640,369640,XLOC_000003,OR4F29,chr1:367658-368597,367658,368597
1,860260,879955,1,SAMD11,ENSG00000187634,protein_coding,860260,858260,862260,XLOC_000006,SAMD11,chr1:851135-917473,851135,917473
1,895967,901095,1,KLHL17,ENSG00000187961,protein_coding,895967,893967,897967,XLOC_000007,KLHL17,chr1:851135-917473,851135,917473
1,901877,911245,1,PLEKHN1,ENSG00000187583,protein_coding,901877,899877,903877,XLOC_000007,PLEKHN1,chr1:851135-917473,851135,917473
1,948803,949920,1,ISG15,ENSG00000187608,protein_coding,948803,946803,950803,XLOC_000008,ISG15,chr1:948846-949919,948846,949919
1,955503,991496,1,AGRN,ENSG00000188157,protein_coding,955503,953503,957503,XLOC_000009,AGRN,chr1:955397-991570,955397,991570
1,1103243,1103332,1,MIR200A,ENSG00000207607,miRNA,1103243,1101243,1105243,XLOC_000012,MIR200A,chr1:1058324-1105717,1058324,1105717
1,1102484,1102578,1,MIR200B,ENSG00000207730,miRNA,1102484,1100484,1104484,XLOC_000012,MIR200B,chr1:1058324-1105717,1058324,1105717
1,1104385,1104467,1,MIR429,ENSG00000198976,miRNA,1104385,1102385,1106385,XLOC_000012,MIR429,chr1:1058324-1105717,1058324,1105717
1,1109264,1133315,1,TTLL10,ENSG00000162571,protein_coding,1109264,1107264,1111264,XLOC_000014,TTLL10,chr1:1109285-1133313,1109285,1133313
1,1167629,1170421,1,B3GALT6,ENSG00000176022,protein_coding,1167629,1165629,1169629,XLOC_000015,B3GALT6,chr1:1152280-1175955,1152280,1175955
1,1215816,1227409,1,SCNN1D,ENSG00000162572,protein_coding,1215816,1213816,1217816,XLOC_000018,SCNN1D,chr1:1209396-1227409,1209396,1227409
1,1243947,1247057,1,PUSL1,ENSG00000169972,protein_coding,1243947,1241947,1245947,XLOC_000019,PUSL1,chr1:1227622-1260070,1227622,1260070
1,1260136,1264277,1,GLTPD1,ENSG00000224051,protein_coding,1260136,1258136,1262136,XLOC_000020,GLTPD1,chr1:1260121-1265313,1260121,1265313
1,1266694,1270686,1,TAS1R3,ENSG00000169962,protein_coding,1266694,1264694,1268694,XLOC_000021,TAS1R3,chr1:1266408-1284820,1266408,1284820
1,1288069,1297157,-1,MXRA8,ENSG00000162576,protein_coding,1297157,1295157,1299157,XLOC_000023,MXRA8,chr1:1286794-1298899,1286794,1298899
1,1361508,1363167,1,TMEM88B,ENSG00000205116,protein_coding,1361508,1359508,1363508,XLOC_000025,TMEM88B,chr1:1361507-1363167,1361507,1363167
1,1370241,1378262,1,VWA1,ENSG00000179403,protein_coding,1370241,1368241,1372241,XLOC_000026,VWA1,chr1:1363523-1381246,1363523,1381246
1,1385069,1405538,1,ATAD3C,ENSG00000215915,protein_coding,1385069,1383069,1387069,XLOC_000027,ATAD3C,chr1:1383483-1406558,1383483,1406558
1,1407143,1433228,1,ATAD3B,ENSG00000160072,protein_coding,1407143,1405143,1409143,XLOC_000028,ATAD3B,chr1:1406662-1433132,1406662,1433132
1,1447531,1470067,1,ATAD3A,ENSG00000197785,protein_coding,1447531,1445531,1449531,XLOC_000029,ATAD3A,chr1:1446382-1470085,1446382,1470085
1,1550795,1565990,1,MIB2,ENSG00000197530,protein_coding,1550795,1548795,1552795,XLOC_000031,MIB2,chr1:1549011-1566996,1549011,1566996
1,1567474,1570639,1,MMP23B,ENSG00000189409,protein_coding,1567474,1565474,1569474,XLOC_000032,MMP23B,chr1:1567559-1570030,1567559,1570030
1,1631369,1633249,1,MMP23A,ENSG00000215914,pseudogene,1631369,1629369,1633369,XLOC_000033,MMP23A,chr1:1570404-1678935,1570404,1678935
1,1656277,1677431,-1,SLC35E2,ENSG00000215790,protein_coding,1677431,1675431,1679431,XLOC_000034,SLC35E2,chr1:1570404-1678935,1570404,1678935
1,1846266,1848735,1,CALML6,ENSG00000169885,protein_coding,1846266,1844266,1848266,XLOC_000035,CALML6,chr1:1845090-1848733,1845090,1848733
1,1950780,1962192,1,GABRD,ENSG00000187730,protein_coding,1950780,1948780,1952780,XLOC_000036,GABRD,chr1:1950767-1962193,1950767,1962193
1,1981909,2116834,1,PRKCZ,ENSG00000067606,protein_coding,1981909,1979909,1983909,XLOC_000037,PRKCZ,chr1:1979949-2139172,1979949,2139172
1,2160134,2241558,1,SKI,ENSG00000157933,protein_coding,2160134,2158134,2162134,XLOC_000038,SKI,chr1:2159830-2241854,2159830,2241854
1,2323267,2336883,1,RER1,ENSG00000157916,protein_coding,2323267,2321267,2325267,XLOC_000039,RER1,chr1:2323213-2345429,2323213,2345429
1,2357419,2436969,1,PLCH2,ENSG00000149527,protein_coding,2357419,2355419,2359419,XLOC_000040,PLCH2,chr1:2407753-2436966,2407753,2436966
1,2487078,2496821,1,TNFRSF14,ENSG00000157873,protein_coding,2487078,2485078,2489078,XLOC_000041,TNFRSF14,chr1:2477718-2495317,2477718,2495317
1,2938046,2939465,1,ACTRT2,ENSG00000169717,protein_coding,2938046,2936046,2940046,XLOC_000043,ACTRT2,chr1:2938045-2939467,2938045,2939467
1,2985732,3355185,1,PRDM16,ENSG00000142611,protein_coding,2985732,2983732,2987732,XLOC_000044,PRDM16,chr1:2976180-3355185,2976180,3355185
1,3370990,3397677,1,ARHGEF16,ENSG00000130762,protein_coding,3370990,3368990,3372990,XLOC_000046,ARHGEF16,chr1:3366055-3402204,3366055,3402204
1,3541566,3546691,1,TPRG1L,ENSG00000158109,protein_coding,3541566,3539566,3543566,XLOC_000047,TPRG1L,chr1:3541555-3546694,3541555,3546694
1,3569084,3652765,1,TP73,ENSG00000078900,protein_coding,3569084,3567084,3571084,XLOC_000048,TP73,chr1:3568576-3663980,3568576,3663980
1,3668962,3688209,1,CCDC27,ENSG00000162592,protein_coding,3668962,3666962,3670962,XLOC_000049,CCDC27,chr1:3668964-3688209,3668964,3688209
1,3773845,3801993,1,DFFB,ENSG00000169598,protein_coding,3773845,3771845,3775845,XLOC_000051,DFFB,chr1:3773844-3803258,3773844,3803258
1,4714792,4852594,1,AJAP1,ENSG00000196581,protein_coding,4714792,4712792,4716792,XLOC_000054,AJAP1,chr1:4715104-4843851,4715104,4843851
1,6051526,6161253,1,KCNAB2,ENSG00000069424,protein_coding,6051526,6049526,6053526,XLOC_000055,KCNAB2,chr1:5922021-6161253,5922021,6161253
1,6265535,6281359,1,RNF207,ENSG00000158286,protein_coding,6265535,6263535,6267535,XLOC_000056,RNF207,chr1:6265650-6296076,6265650,6296076
1,6304252,6305638,1,HES3,ENSG00000173673,protein_coding,6304252,6302252,6306252,XLOC_000058,HES3,chr1:6304251-6305638,6304251,6305638
1,6484848,6521430,1,ESPN,ENSG00000187017,protein_coding,6484848,6482848,6486848,XLOC_000059,ESPN,chr1:6484840-6580069,6484840,6580069
1,6615241,6639817,1,TAS1R1,ENSG00000173662,protein_coding,6615241,6613241,6617241,XLOC_000060,TAS1R1,chr1:6581279-6639817,6581279,6639817
1,6640061,6649340,1,ZBTB48,ENSG00000204859,protein_coding,6640061,6638061,6642061,XLOC_000061,ZBTB48,chr1:6640062-6649530,6640062,6649530
1,6673745,6684093,1,PHF13,ENSG00000116273,protein_coding,6673745,6671745,6675745,XLOC_000062,PHF13,chr1:6673755-6684093,6673755,6684093
1,6684926,6695646,1,THAP3,ENSG00000041988,protein_coding,6684926,6682926,6686926,XLOC_000063,THAP3,chr1:6684722-6761966,6684722,6761966
