test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000001	XLOC_000001	OR4F5	chr1:69090-70008	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000002	XLOC_000002	LOC100132062,LOC100133331	chr1:323891-328581	hepg2_hr2	hepg2_hr3	NOTEST	0.0473925	0.0341591	-0.472389	0	1	1	no
XLOC_000003	XLOC_000003	OR4F29	chr1:367658-368597	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000004	XLOC_000004	LOC643837	chr1:761585-794889	hepg2_hr2	hepg2_hr3	OK	2.46857	2.8058	0.184736	0.455074	0.63585	0.999565	no
XLOC_000005	XLOC_000005	-	chr1:840263-843900	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000006	XLOC_000006	SAMD11	chr1:851135-917473	hepg2_hr2	hepg2_hr3	NOTEST	0.0888452	0.136965	0.624439	0	1	1	no
XLOC_000007	XLOC_000007	KLHL17,PLEKHN1	chr1:851135-917473	hepg2_hr2	hepg2_hr3	OK	4.04743	4.16567	0.041543	0.0707864	0.94475	0.999565	no
XLOC_000008	XLOC_000008	ISG15	chr1:948846-949919	hepg2_hr2	hepg2_hr3	OK	26.7934	30.2747	0.176232	0.797534	0.42445	0.999565	no
XLOC_000009	XLOC_000009	AGRN	chr1:955397-991570	hepg2_hr2	hepg2_hr3	OK	24.8548	23.2528	-0.0961199	-0.496265	0.61375	0.999565	no
XLOC_000010	XLOC_000010	-	chr1:993794-1004436	hepg2_hr2	hepg2_hr3	OK	1.81732	2.16935	0.255451	0.960974	0.3226	0.999565	no
XLOC_000011	XLOC_000011	-	chr1:1004537-1006002	hepg2_hr2	hepg2_hr3	NOTEST	0	0.0689488	inf	0	1	1	no
XLOC_000012	XLOC_000012	MIR200A,MIR200B,MIR429	chr1:1058324-1105717	hepg2_hr2	hepg2_hr3	OK	0.429365	0.498118	0.214282	0.0573094	0.86515	0.999565	no
XLOC_000013	XLOC_000013	-	chr1:1058324-1105717	hepg2_hr2	hepg2_hr3	NOTEST	0.0987964	0.0987394	-0.000831956	0	1	1	no
XLOC_000014	XLOC_000014	TTLL10	chr1:1109285-1133313	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000015	XLOC_000015	B3GALT6	chr1:1152280-1175955	hepg2_hr2	hepg2_hr3	OK	7.51023	7.59228	0.0156762	0.0267069	0.9773	0.999565	no
XLOC_000016	XLOC_000016	-	chr1:1176090-1177128	hepg2_hr2	hepg2_hr3	NOTEST	0.10094	0.122187	0.275594	0	1	1	no
XLOC_000017	XLOC_000017	-	chr1:1177832-1185465	hepg2_hr2	hepg2_hr3	NOTEST	0.120855	0.0664459	-0.863025	0	1	1	no
XLOC_000018	XLOC_000018	SCNN1D	chr1:1209396-1227409	hepg2_hr2	hepg2_hr3	OK	1.00624	1.07668	0.0976216	0.33467	0.72005	0.999565	no
XLOC_000019	XLOC_000019	PUSL1	chr1:1227622-1260070	hepg2_hr2	hepg2_hr3	OK	11.733	11.1411	-0.0746767	-0.12076	0.90295	0.999565	no
XLOC_000020	XLOC_000020	GLTPD1	chr1:1260121-1265313	hepg2_hr2	hepg2_hr3	OK	8.25444	6.59031	-0.324822	-1.46678	0.1313	0.999565	no
XLOC_000021	XLOC_000021	TAS1R3	chr1:1266408-1284820	hepg2_hr2	hepg2_hr3	NOTEST	0.269335	0.213402	-0.335827	0	1	1	no
XLOC_000022	XLOC_000022	-	chr1:1284939-1285383	hepg2_hr2	hepg2_hr3	OK	0.475047	0.835624	0.814784	0.744104	0.4543	0.999565	no
XLOC_000023	XLOC_000023	MXRA8	chr1:1286794-1298899	hepg2_hr2	hepg2_hr3	NOTEST	0	0.00621146	inf	0	1	1	no
XLOC_000024	XLOC_000024	LOC148413	chr1:1321026-1342693	hepg2_hr2	hepg2_hr3	OK	9.82867	9.63041	-0.0293997	-0.048108	0.9621	0.999565	no
XLOC_000025	XLOC_000025	TMEM88B	chr1:1361507-1363167	hepg2_hr2	hepg2_hr3	OK	7.46963	6.89183	-0.11615	-0.328253	0.73485	0.999565	no
XLOC_000026	XLOC_000026	VWA1	chr1:1363523-1381246	hepg2_hr2	hepg2_hr3	OK	18.5982	16.9238	-0.136115	-0.637926	0.51475	0.999565	no
XLOC_000027	XLOC_000027	ATAD3C	chr1:1383483-1406558	hepg2_hr2	hepg2_hr3	OK	1.24157	1.13651	-0.127557	-0.445663	0.651	0.999565	no
XLOC_000028	XLOC_000028	ATAD3B	chr1:1406662-1433132	hepg2_hr2	hepg2_hr3	OK	9.91076	9.64919	-0.0385878	-0.170675	0.8646	0.999565	no
XLOC_000029	XLOC_000029	ATAD3A	chr1:1446382-1470085	hepg2_hr2	hepg2_hr3	OK	13.191	12.2441	-0.107462	-0.491171	0.62295	0.999565	no
XLOC_000030	XLOC_000030	-	chr1:1535663-1538167	hepg2_hr2	hepg2_hr3	NOTEST	0.16172	0.0674516	-1.26157	0	1	1	no
XLOC_000031	XLOC_000031	MIB2	chr1:1549011-1566996	hepg2_hr2	hepg2_hr3	OK	8.76341	8.61321	-0.0249412	-0.115164	0.90515	0.999565	no
XLOC_000032	XLOC_000032	MMP23B	chr1:1567559-1570030	hepg2_hr2	hepg2_hr3	NOTEST	0.131307	0.0396541	-1.7274	0	1	1	no
XLOC_000033	XLOC_000033	MMP23A	chr1:1570404-1678935	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000034	XLOC_000034	SLC35E2	chr1:1570404-1678935	hepg2_hr2	hepg2_hr3	NOTEST	0.324163	0.411097	0.342758	0	1	1	no
XLOC_000035	XLOC_000035	CALML6	chr1:1845090-1848733	hepg2_hr2	hepg2_hr3	NOTEST	0.0475537	0.113447	1.25438	0	1	1	no
XLOC_000036	XLOC_000036	GABRD	chr1:1950767-1962193	hepg2_hr2	hepg2_hr3	NOTEST	0.0174318	0	-inf	0	1	1	no
XLOC_000037	XLOC_000037	PRKCZ	chr1:1979949-2139172	hepg2_hr2	hepg2_hr3	OK	16.2494	16.5553	0.0269088	0.0922421	0.92705	0.999565	no
XLOC_000038	XLOC_000038	SKI	chr1:2159830-2241854	hepg2_hr2	hepg2_hr3	OK	13.3034	13.3569	0.00579667	0.0290661	0.97705	0.999565	no
XLOC_000039	XLOC_000039	RER1	chr1:2323213-2345429	hepg2_hr2	hepg2_hr3	OK	24.2593	23.2591	-0.0607426	-0.242967	0.80135	0.999565	no
XLOC_000040	XLOC_000040	PLCH2	chr1:2407753-2436966	hepg2_hr2	hepg2_hr3	NOTEST	0.156531	0.172844	0.143022	0	1	1	no
XLOC_000041	XLOC_000041	TNFRSF14	chr1:2477718-2495317	hepg2_hr2	hepg2_hr3	OK	10.7759	11.0972	0.0423867	0.163652	0.8641	0.999565	no
XLOC_000042	XLOC_000042	C1orf93	chr1:2517800-2564481	hepg2_hr2	hepg2_hr3	OK	13.2496	12.0655	-0.135059	-0.615714	0.53295	0.999565	no
XLOC_000043	XLOC_000043	ACTRT2	chr1:2938045-2939467	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000044	XLOC_000044	PRDM16	chr1:2976180-3355185	hepg2_hr2	hepg2_hr3	NOTEST	0.166568	0.169022	0.0210999	0	1	1	no
XLOC_000045	XLOC_000045	MIR4251	chr1:2976180-3355185	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000046	XLOC_000046	ARHGEF16	chr1:3366055-3402204	hepg2_hr2	hepg2_hr3	OK	8.07647	8.40772	0.0579891	0.255883	0.79185	0.999565	no
XLOC_000047	XLOC_000047	TPRG1L	chr1:3541555-3546694	hepg2_hr2	hepg2_hr3	OK	30.36	31.4889	0.0526709	0.261884	0.79015	0.999565	no
XLOC_000048	XLOC_000048	TP73	chr1:3568576-3663980	hepg2_hr2	hepg2_hr3	OK	0.711576	0.597466	-0.252161	-0.361645	0.71375	0.999565	no
XLOC_000049	XLOC_000049	CCDC27	chr1:3668964-3688209	hepg2_hr2	hepg2_hr3	NOTEST	0	0.0305687	inf	0	1	1	no
XLOC_000050	XLOC_000050	LOC388588	chr1:3689228-3713200	hepg2_hr2	hepg2_hr3	OK	17.757	14.8765	-0.255355	-0.437717	0.65535	0.999565	no
