Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene name,Gene stable ID,Gene type,tss,tss -2kb,tss +2kb,test_id,orig_gene_name,locus,orig_start,orig_end
1,69091,70008,1,OR4F5,ENSG00000186092,protein_coding,69091,67091,71091,XLOC_000001,OR4F5,chr1:69090-70008,69090,70008
1,317720,453948,1,RP4-669L17.10,ENSG00000237094,lincRNA,317720,315720,319720,XLOC_000002,LOC100132062,chr1:323891-328581,323891,328581
1,326096,328112,1,RP4-669L17.8,ENSG00000250575,pseudogene,326096,324096,328096,XLOC_000002,LOC100132062,chr1:323891-328581,323891,328581
1,317720,453948,1,RP4-669L17.10,ENSG00000237094,lincRNA,317720,315720,319720,XLOC_000002,LOC100133331,chr1:323891-328581,323891,328581
1,326096,328112,1,RP4-669L17.8,ENSG00000250575,pseudogene,326096,324096,328096,XLOC_000002,LOC100133331,chr1:323891-328581,323891,328581
1,317720,453948,1,RP4-669L17.10,ENSG00000237094,lincRNA,317720,315720,319720,XLOC_000003,OR4F29,chr1:367658-368597,367658,368597
1,367640,368634,1,OR4F29,ENSG00000235249,protein_coding,367640,365640,369640,XLOC_000003,OR4F29,chr1:367658-368597,367658,368597
1,761586,762902,-1,LINC00115,ENSG00000225880,lincRNA,762902,760902,764902,XLOC_000004,LOC643837,chr1:761585-794889,761585,794889
1,762988,794826,1,LINC01128,ENSG00000228794,processed_transcript,762988,760988,764988,XLOC_000004,LOC643837,chr1:761585-794889,761585,794889
1,840214,851356,1,RP11-54O7.16,ENSG00000272438,lincRNA,840214,838214,842214,XLOC_000005,-,chr1:840263-843900,840263,843900
1,840214,851356,1,RP11-54O7.16,ENSG00000272438,lincRNA,840214,838214,842214,XLOC_000006,SAMD11,chr1:851135-917473,851135,917473
1,852245,856396,-1,RP11-54O7.3,ENSG00000223764,lincRNA,856396,854396,858396,XLOC_000006,SAMD11,chr1:851135-917473,851135,917473
1,860260,879955,1,SAMD11,ENSG00000187634,protein_coding,860260,858260,862260,XLOC_000006,SAMD11,chr1:851135-917473,851135,917473
1,861264,866445,-1,AL645608.1,ENSG00000268179,protein_coding,866445,864445,868445,XLOC_000006,SAMD11,chr1:851135-917473,851135,917473
1,879584,894689,-1,NOC2L,ENSG00000188976,protein_coding,894689,892689,896689,XLOC_000006,SAMD11,chr1:851135-917473,851135,917473
1,895967,901095,1,KLHL17,ENSG00000187961,protein_coding,895967,893967,897967,XLOC_000006,SAMD11,chr1:851135-917473,851135,917473
1,901877,911245,1,PLEKHN1,ENSG00000187583,protein_coding,901877,899877,903877,XLOC_000006,SAMD11,chr1:851135-917473,851135,917473
1,910579,917497,-1,C1orf170,ENSG00000187642,protein_coding,917497,915497,919497,XLOC_000006,SAMD11,chr1:851135-917473,851135,917473
